cnpj_clean,buffer_km,prior_entry_area_total_ha,prior_pasture_area_ha,prior_pasture_share,prior_annual_agriculture_area_ha,prior_annual_agriculture_share,prior_perennial_agriculture_area_ha,prior_perennial_agriculture_share,prior_agricultural_mosaic_area_ha,prior_agricultural_mosaic_share,prior_forestry_area_ha,prior_forestry_share,prior_native_vegetation_area_ha,prior_native_vegetation_share,prior_other_uses_area_ha,prior_other_uses_share,prior_productive_share,source_method,origin_year_window
00297598000122,25,2516.837738484227,49.30889992806503,0.0195916086182661,2134.0904585529693,0.8479253254674382,0.0,0.0,233.40026935972344,0.0927355251357163,0.0,0.0,92.3837219090965,0.036706268543452,7.654388734372753,0.0030412722351273,0.9602524592214206,grid_intersection_approximation,1987-2015
00372496000124,25,88329.41983941021,7640.763078212628,0.0865030370640284,30412.52715897984,0.3443080144109651,131.74008778298293,0.0014914632975343,48886.8459468431,0.5534605122021995,28.610093853739084,0.0003239022050156,1193.723505731933,0.013514449748478,35.209968005988905,0.0003986210717788,0.9860869291797428,grid_intersection_approximation,1987-2015
00595322000120,25,21928.219796460067,1467.8185091380917,0.0669374223152873,17281.31465920521,0.7880856184228408,0.0,0.0,3129.6692241134897,0.1427233607271084,4.072289676187291,0.0001857099989869,42.462473583565455,0.00193643049813,2.882640743523716,0.0001314580376464,0.9979321114642234,grid_intersection_approximation,1987-2015
01105558000102,25,7040.848818497068,842.0881057965112,0.119600367442098,3544.7968301714445,0.5034615742435602,46.10000195364914,0.00654750629392,2584.6727748382345,0.3670967579999759,0.4550414290587249,6.4628774284044e-05,19.093665943571075,0.0027118414889707,3.642398364599198,0.000517323757191,0.9967708347538382,grid_intersection_approximation,1987-2015
02043917000107,25,11172.752409370938,278.2337264158567,0.0249028812437026,9869.009151099446,0.8833104672418945,0.0,0.0,1006.9965807938712,0.0901296783368502,2.738849414519553,0.0002451364994199,13.405077370381004,0.001199800808182,2.369024276864017,0.0002120358699506,0.9985881633218676,grid_intersection_approximation,1987-2015
02414858000470,25,27576.49652170245,13372.426951829111,0.4849211697833019,2642.483445686289,0.0958237549721618,0.0,0.0,11308.25275133897,0.4100685067967019,0.5213702653157389,1.890632716543326e-05,234.0631945822288,0.0084877785108787,18.748808000537725,0.00067988360979,0.990832337879331,grid_intersection_approximation,1987-2015
02460988000105,25,31289.127079375405,10125.366549533795,0.3236065526483815,5170.092248528992,0.1652360654042317,0.0,0.0,15442.399642289149,0.4935388450791325,8.417944681801865,0.0002690373771197,525.1862671811396,0.0167849446821839,17.664427160526923,0.0005645548089505,0.9826505005088656,grid_intersection_approximation,1987-2015
02635522000195,25,27559.107431053955,9070.718274487625,0.3291368669025406,5051.96327695183,0.1833137480809415,0.0,0.0,12982.997359583787,0.4710964385208782,6.991387866217456,0.0002536870210222,430.4779447228431,0.015620170058112,15.959187441653452,0.0005790894165052,0.9838007405253828,grid_intersection_approximation,1987-2015
02635522004930,25,36982.0175642577,14190.93314507325,0.3837252286308054,4995.414967965978,0.135076864297256,0.0,0.0,17259.97429728627,0.4667126196480868,6.697167923275844,0.0001810925515796,506.87038316569794,0.0137058607547571,22.127602843232435,0.0005983341175149,0.985695805127728,grid_intersection_approximation,1987-2015
02678100000105,25,6561.021526176158,25.254372702907624,0.0038491525446383,6412.792918574957,0.9774076937547268,0.0,0.0,118.58116180837258,0.0180735821907115,0.0,0.0,1.098116008923244,0.0001673696701865,3.2949570809969533,0.0005022018397365,0.9993304284900768,grid_intersection_approximation,1987-2015
02773950000184,25,43087.50883546168,1599.4736691245812,0.0371215164755171,34605.56697750202,0.803146153323701,0.0,0.0,6754.183302380541,0.1567550198405006,0.0,0.0,66.20110921167017,0.0015364338993111,62.08377724286528,0.0014408764609702,0.9970226896397189,grid_intersection_approximation,1987-2015
02783009000141,25,29268.3979663868,12202.685566179129,0.4169235904265502,2761.6990530907965,0.0943577115584686,0.0,0.0,13940.816572622822,0.4763095195245434,10.811093370050976,0.0003693776947568,347.1869265620478,0.011862177320425,5.198754561956689,0.0001776234752557,0.9879601992043192,grid_intersection_approximation,1987-2015
02859452000230,25,68924.8362274906,3777.134714982768,0.0548007789603751,51131.91826023912,0.741850413564642,0.0,0.0,13928.901578140798,0.2020882796466518,2.2085867353982382,3.204340925974295e-05,60.925989529102594,0.0008839482668919,23.747097863403734,0.0003445361521792,0.9987715155809288,grid_intersection_approximation,1987-2015
02896264000109,25,11626.659457447797,4620.583445055941,0.3974128133679955,1509.0469233083686,0.1297919603503742,0.0,0.0,5334.090008638495,0.4587809618197416,11.37967222377198,0.0009787568187939,143.62230023219337,0.0123528431152416,7.937107989026577,0.000682664527853,0.9869644923569052,grid_intersection_approximation,1987-2015
03345641000338,25,74096.92655094268,13681.10657424644,0.1846379763786894,39226.30892849236,0.5293918486824649,1135.109080191165,0.0153192464657864,20017.6789168251,0.2701553201813663,2.288234953355879,3.08816446223675e-05,22.91443196394252,0.0003092494254561,11.520384270310169,0.0001554772216144,0.9995352733529296,grid_intersection_approximation,1987-2015
03347747000109,25,22085.134679404862,10943.087822293232,0.4954956345590244,1930.7654451150324,0.087423756890898,0.0,0.0,9018.292439928176,0.4083421980821352,0.0,0.0,179.11255138877843,0.0081100955003822,13.876420679648463,0.0006283149675599,0.9912615895320576,grid_intersection_approximation,1987-2015
