grid_id,grid_area_km2,entry_all__2022,entry_all__2023,entry_productive__2022,entry_productive__2023,exp__2022__00_03,exp__2022__03_06,exp__2022__06_09,exp__2022__09_12,exp__2022__12_20,exp__2022__gt_20,exp__2023__00_03,exp__2023__03_06,exp__2023__06_09,exp__2023__09_12,exp__2023__12_20,exp__2023__gt_20,sel__2022__00_03,sel__2022__03_06,sel__2022__06_09,sel__2022__09_12,sel__2022__12_20,sel__2022__gt_20,sel__2023__00_03,sel__2023__03_06,sel__2023__06_09,sel__2023__09_12,sel__2023__12_20,sel__2023__gt_20
"105,140",73.0836367871529,0.0,0.0,0.0,0.0,32.09482541738771,71.65393408046049,52.78825018639658,71.20955228992537,90.56956149269553,29.33910738066131,38.569518238890396,68.41671355471891,52.78825018639658,77.68433737941817,90.5696325414321,33.37615476402582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"100,141",66.3866925942657,0.0,0.0,0.0,0.0,107.23482327367745,430.3116226757274,394.3042188317168,530.1896173495873,1426.2738779638325,1922.1330344471276,107.23483424093209,433.5515373314128,400.7840374142516,536.6694287795647,1419.7939807031667,1926.8213519087026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"101,141",578.0662436058642,0.0,0.0,0.0,0.0,2991.5589504830978,6033.687164210339,6621.788563604916,6025.052166155272,12838.974294857886,8128.226297787124,2972.286829936271,6012.978115798914,6612.07056462344,6008.85384886592,12798.154040805031,8147.755053896063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"102,141",982.0263574565336,0.0,0.0,0.0,0.0,5734.981276886137,14133.967952465542,17008.636241127464,14066.399410174874,17319.09945354929,4729.159525897456,5725.2632650300575,14090.242332689433,16989.212593605007,14078.290104538786,17309.341398836586,4716.594119841445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"103,141",1453.4043743663183,0.0,0.0,0.0,0.0,12804.231346178993,28903.828007189437,22149.713611745832,11443.05016320266,7563.583497429829,682.5740491708119,12817.185385037406,28905.014300160317,22152.57324574695,11437.525084456276,7581.237236302507,702.0072347482045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"104,141",2205.7437286092463,0.0,0.0,0.0,0.0,13752.212667205287,25357.779787286127,17913.775073603087,10705.766199229745,9066.668281834733,2253.5711493856766,13741.416529475006,25212.53295085851,17938.63537562688,10677.367638724458,9068.333126485115,2337.732986550238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"105,141",1503.226002040825,0.0,0.0,0.0,0.0,3738.807806669497,5413.130041295407,4784.95045000151,4032.1854154914035,6239.78118875541,2362.3148011749863,3780.4833162494733,5456.285956572552,4887.596441684049,4114.663415922839,6423.462698140799,2470.1313509249217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"106,141",215.08809679289737,0.0,0.0,0.0,0.0,4728.96895217989,3583.6162821666867,2406.9710819365937,841.7923966491924,371.82743402368885,25.877612748800537,4756.243003064511,3586.8521527664334,2413.9899721472875,851.5011102096706,376.67572927287983,29.11389986580493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"108,141",96.10327355010156,0.0,0.0,0.0,0.0,526.3476326493656,1014.8849961551965,897.3308585849463,522.3964853501788,341.29074207474207,25.85717463493347,539.2760202912723,1038.5356613682766,922.9088305202185,538.5574281430712,350.27730119555605,25.85717463493347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"109,141",29.391816529405492,0.0,0.0,0.0,0.0,146.3568591117859,346.0709343723222,354.9763842133915,289.590989485909,168.00096065016356,6.463558673858643,152.82045760154725,346.07086976088726,354.9767423180973,302.3531642717474,171.94260606578752,6.463558673858643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"100,142",1338.9962657464637,0.0,0.0,0.0,0.0,6903.7208458835,18189.185866035197,20773.547285428696,14477.022234339809,26021.89387869647,13639.232160630878,6915.867237845589,18172.452302862617,20757.34760653084,14493.221924681759,26113.756348067636,13692.862641234491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"101,142",2504.6089561232607,0.0,0.0,0.0,0.0,9534.214328753715,25316.72923081903,31488.630738704353,25766.97614863527,50283.13468301063,31246.210921799902,9483.738576142929,25252.747509697372,31434.624417809886,25725.67322681371,50272.69021413093,31107.534477354497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"102,142",2504.3014825435944,0.0,0.0,0.0,0.0,13199.768602458169,31043.923172184997,42052.00190467741,38884.783986649796,49556.27245295282,18144.29564924614,13135.704112234303,31004.60628221923,42019.35396603977,38904.220820508286,49563.19519841532,18057.63403946558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"103,142",2503.8403957275705,0.0,0.0,0.0,0.0,15248.334895475236,37203.106717450944,31578.094825163065,25463.518379719113,34319.65106182378,16364.442225255218,15243.827240451177,37227.49631692101,31569.194839614975,25457.043353826855,34276.486444592,16241.475702362433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"104,142",2503.2258438713516,0.0,0.0,0.0,0.0,16083.647533183004,20502.87111965067,9633.793485677943,4892.42099662201,10577.810030850243,25615.562240820305,16083.645096068289,20512.93038801399,9620.298650908004,4915.090523437424,10592.733373090332,25787.86890083855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"105,142",2502.4580244555964,0.0,0.0,0.0,0.0,3907.4158598049016,5836.544485802744,6463.773443567987,7436.042150287068,17268.54940640132,12947.946020087073,3939.7800813777776,5911.798701175989,6499.7512864243745,7565.343319121529,17400.882634852915,13260.323479476629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"106,142",2269.9620142626172,0.0,0.0,0.0,0.0,18768.06651116259,30675.74996122846,24928.294197206873,12788.193331220102,7681.823639205859,1063.9971735196955,18860.294440193735,30789.01537999639,25062.75767351693,12874.110981017468,7722.607633962819,1067.234208794201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"107,142",1924.7664607628246,0.0,0.0,0.0,0.0,19018.0602710406,26323.400856792225,23570.36459830228,12386.992989929051,7880.847584102668,354.2960722165949,18512.53172076169,26387.879891958422,23764.43229778888,12464.61374154839,7939.05977473072,357.53000280436345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"108,142",2235.968067379422,0.0,0.0,0.0,0.0,13202.413569919736,31520.123580634365,28404.771438310658,16056.838402334848,10659.976343382104,985.2552734375,13147.03298311327,31671.985971677073,28596.619479725407,16150.578516546884,10764.966611934173,988.4878126144409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"109,142",2176.3501462020963,0.0,0.0,0.0,0.0,16323.255697243821,27412.83652987761,22427.141349939273,12080.182279820538,7986.316550840116,806.8612623055776,16400.794794791353,27614.88253126425,22592.245587707966,12286.849505374013,8079.546483682183,848.8657653172812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
