period,period_label,slope_bin,slope_label,stock_area_ha,stock_share
initial_stock_1985_1986,"Estoque inicial, 1985–1986",00_03,0–3%,457068.74993866193,0.28825254848175264
initial_stock_1985_1986,"Estoque inicial, 1985–1986",03_06,>3–6%,653269.734690165,0.411987618702239
initial_stock_1985_1986,"Estoque inicial, 1985–1986",06_09,>6–9%,343392.1027786423,0.21656183838368967
initial_stock_1985_1986,"Estoque inicial, 1985–1986",09_12,>9–12%,99888.7206526242,0.06299528965076875
initial_stock_1985_1986,"Estoque inicial, 1985–1986",12_20,>12–20%,29516.74657538171,0.018614874511516315
initial_stock_1985_1986,"Estoque inicial, 1985–1986",gt_20,>20%,2517.7491073767346,0.0015878302700335475
