slope_bin,slope_label,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2,aic,bic
00_03,0–3%,Intercept,-0.14855087849353557,0.024302372705994137,9.801591298961106e-10,-0.1961826537361533,-0.10091910325091785,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,time,-0.007694879097851855,0.0029626925928572887,0.009397112093094954,-0.013501649877115732,-0.0018881083185879792,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,after_2002,0.04959668306878851,0.008591465128758486,7.797179581728137e-09,0.0327577208419901,0.06643564529558693,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,after_2009,-0.036844850526320354,0.01195484244203294,0.0020561332825327293,-0.06027591115355578,-0.013413789899084923,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,after_2020,-0.14435570902943867,0.0162053520172544,5.20067186930783e-19,-0.1761176153400508,-0.11259380271882655,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
03_06,>3–6%,Intercept,0.4604085858975231,0.01138998051048013,0.0,0.4380846343123689,0.4827325374826773,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,time,0.0020380411742423354,0.001534123423092398,0.1840219774887596,-0.000968785482858068,0.005044867831342739,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,after_2002,0.0018014066860938258,0.004537061312759837,0.6913360359773757,-0.007091070082565473,0.010693883454753125,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,after_2009,-0.0031268010426860416,0.00500226762135899,0.5319207055817812,-0.012931065421580505,0.006677463336208423,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,after_2020,0.02333537580941068,0.008961276312073553,0.00921363880044693,0.005771596982234596,0.04089915463658676,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
06_09,>6–9%,Intercept,0.5245844147156757,0.03132410546233838,5.956691162534032e-63,0.46319029616155816,0.5859785332697933,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,time,0.0035928146692093986,0.0031523855932188297,0.2544059121487656,-0.0025857475588824405,0.009771376897301239,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,after_2002,-0.0601751406597733,0.00938608374364377,1.4447145199962426e-10,-0.07857152675319197,-0.04177875456635463,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,after_2009,0.04633031093351931,0.013520548428255504,0.0006110555718317546,0.019830522962908888,0.07283009890412973,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,after_2020,0.16191484140325105,0.0177484939371998,7.32506059665632e-20,0.12712843250651193,0.19670125029999017,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
09_12,>9–12%,Intercept,-0.2920545382043593,0.04362732748675688,2.1670237138958855e-11,-0.37756252882013713,-0.20654654758858143,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,time,-0.000460340554408669,0.006440259540550903,0.9430168781027823,-0.013083017304978914,0.012162336196161578,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,after_2002,-0.1002276995803894,0.02197165223910276,5.074536299486728e-06,-0.14329134664986964,-0.05716405251090916,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,after_2009,0.0930388381019943,0.02670424310596868,0.0004938927476251575,0.04069948337989365,0.14537819282409495,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,after_2020,0.22816956659732654,0.03678209623757892,5.529904494182898e-10,0.15607798269578563,0.3002611504988675,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
12_20,>12–20%,Intercept,-2.263875915554405,0.0963169643492064,3.6742357093728785e-122,-2.4526536967790777,-2.075098134329732,37,0.6222595904729635,0.575042039282084,2.686351578889287,10.740941142110408
