grid_id,grid_area_km2,entry_all__1987,entry_all__1988,entry_all__1989,entry_all__1990,entry_all__1991,entry_productive__1987,entry_productive__1988,entry_productive__1989,entry_productive__1990,entry_productive__1991,exp__1987__00_03,exp__1987__03_06,exp__1987__06_09,exp__1987__09_12,exp__1987__12_20,exp__1987__gt_20,exp__1988__00_03,exp__1988__03_06,exp__1988__06_09,exp__1988__09_12,exp__1988__12_20,exp__1988__gt_20,exp__1989__00_03,exp__1989__03_06,exp__1989__06_09,exp__1989__09_12,exp__1989__12_20,exp__1989__gt_20,exp__1990__00_03,exp__1990__03_06,exp__1990__06_09,exp__1990__09_12,exp__1990__12_20,exp__1990__gt_20,exp__1991__00_03,exp__1991__03_06,exp__1991__06_09,exp__1991__09_12,exp__1991__12_20,exp__1991__gt_20,initial_stock__00_03,initial_stock__03_06,initial_stock__06_09,initial_stock__09_12,initial_stock__12_20,initial_stock__gt_20,initial_stock_total_ha,sel__1987__00_03,sel__1987__03_06,sel__1987__06_09,sel__1987__09_12,sel__1987__12_20,sel__1987__gt_20,sel__1988__00_03,sel__1988__03_06,sel__1988__06_09,sel__1988__09_12,sel__1988__12_20,sel__1988__gt_20,sel__1989__00_03,sel__1989__03_06,sel__1989__06_09,sel__1989__09_12,sel__1989__12_20,sel__1989__gt_20,sel__1990__00_03,sel__1990__03_06,sel__1990__06_09,sel__1990__09_12,sel__1990__12_20,sel__1990__gt_20,sel__1991__00_03,sel__1991__03_06,sel__1991__06_09,sel__1991__09_12,sel__1991__12_20,sel__1991__gt_20
"105,140",73.0836367871529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.30276641658708,126.81643977258717,76.27484670339847,79.4354295945635,151.64528683961606,88.7277097159741,71.54002318195268,130.0537153730205,82.74953237234378,81.42869415937685,148.40795163453794,92.0537472491171,83.57543288773181,139.81676951389682,105.53796624669845,98.31373520084453,186.48162994010778,92.92979877322328,93.28737484520556,146.29145136814486,108.77529048452193,114.50038976856304,209.14297375305026,102.6418084415735,99.76186787193897,154.03499712944026,126.4592126836964,128.4518050287284,241.85703998079487,116.30176994099335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"100,141",66.3866925942657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.91425518896068,460.34754089187174,436.42308789795527,608.1000319854886,1670.9191771843853,2457.214583896188,133.15416793729747,460.34754089187174,433.1831567913879,604.8601101772458,1667.679259667677,2466.934338115243,136.39409093763317,463.5874712831834,436.42308789795527,604.8601101772458,1656.1553496201832,2453.6697876416,136.39409093763317,468.4409981980043,431.56956310178725,604.8601101772458,1652.9154216130573,2452.2213502650166,136.39409093763317,468.4409981980043,441.28929347898446,613.5634419525371,1660.4244005016249,2456.0838488503996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"101,141",578.0662436058642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.38072644402,6069.461623161914,6647.765366404666,6094.379543620464,13169.261175908296,9090.26344258458,3128.6099732988023,6167.833204174042,6730.383712266474,6204.528503972409,13510.026886891386,9294.84946497001,3135.0892704599046,6154.873702907563,6728.211105857176,6230.445763665555,13521.562601684122,9304.314509086047,3161.9087968947842,6200.216734341079,6779.487692742255,6256.362873870252,13572.268004563275,9330.041913737503,3182.9603090295604,6242.461206608193,6857.240521578696,6309.8115802344155,13720.175633225723,9451.310998228484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"102,141",982.0263574565336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5528.20816636927,13430.586413130104,16372.855921016955,14325.065381316577,17761.107038108043,5121.766382021998,5598.384665556516,13611.530594750948,16623.8684050934,14493.517213256684,18079.181155957427,5214.452440832176,5646.974203415479,13693.32885779306,16717.10345654394,14563.159371454574,18219.286765265,5283.316814304801,5702.0488448816195,13835.869751347747,16809.96028147772,14605.679856343362,18251.107676136726,5318.952427031012,5740.923222847547,13997.84589899942,16891.837517030566,14595.570542087738,18323.558459600747,5399.938962341757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"103,141",1453.4043743663183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11912.602173914627,26847.88097831595,20340.642040515417,10930.353664564618,7583.6131394115155,842.3165793914421,11949.127881727965,26974.746452548454,20453.640186444452,10990.265359795327,7586.852145453996,850.0392838291093,12081.926457129272,27435.917860134905,20832.53433978137,11228.433359619215,7872.827731756136,913.5605275032567,12133.744892082961,27546.036034687822,20949.474436978733,11307.78933806139,7921.407239822313,940.0814958338644,12321.384588086372,27898.26858410461,21186.119833094464,11536.729999112147,8135.14608612154,1003.2332690042608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"104,141",2205.7437286092463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15103.575231708264,27219.48828769385,19109.394103501825,10974.672157885047,8928.386217891468,2431.5681672806836,15265.47815529225,27470.557181988515,19217.070089654364,11020.522346409629,8959.143953909595,2428.317753727296,15470.562218504325,27737.46466920049,19407.795891208276,11047.815116461585,9082.193457236011,2351.7064884354086,15607.649244067248,27912.330541822026,19488.397824321073,11024.07427679604,9096.223386790705,2369.5066330984528,15649.748524663028,27965.92870272936,19502.101901767768,11053.958372006695,8991.014196128472,2366.2702088907654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"105,141",1503.226002040825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4286.797237494412,5097.7741677602135,4674.746691647698,4144.742250260185,7307.641494750977,4522.369840290032,4428.3569122062,5256.167939532972,4943.2210450611865,4346.705457066554,7767.2041605332315,4702.80375328625,4480.55239123363,5311.866914274176,4995.682917759466,4378.879351407406,7798.885324893279,4730.322106101466,4548.41913409981,5534.830235996432,5185.0455499321815,4587.042028420578,8169.485099719553,4910.923585604685,4628.026860228706,5694.6510240853995,5356.927541026882,4703.237322830687,8325.530761229757,5028.264737042257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"106,141",215.08809679289737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4634.528052646039,3120.6128632096684,1869.4900018673318,770.6261787143408,331.6758021906311,33.97495963994194,4741.485534151863,3298.7437882535596,1969.5090557463027,805.0954579792771,346.23337318663505,33.97495963994194,4773.315945761812,3366.705216180577,1993.952660953297,835.8330410845139,342.9966991162768,30.738663701450122,4805.319672625673,3380.7037543661454,2016.6044820897716,845.5426405177396,342.99699046378043,27.502372054492724,4829.4434588198565,3372.060917108199,2042.493634616627,834.2102368027556,341.37300315838235,24.266080407535327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"108,141",96.10327355010156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.04342811715367,889.9574223611869,778.4108438033684,418.7859503774082,248.38190777909523,28.73405085264468,453.27597659241917,906.1575738214979,768.6508050114501,417.5693555635564,259.6882006093567,28.73405085264468,456.50863950860264,911.0513548074983,759.2578923131905,434.1739103868896,262.5149878997429,30.343767443825218,481.5164527266633,950.1027248522814,783.4937405904134,465.78611013842567,259.33314977346686,33.57598356359145,484.74856179648754,948.4801729342516,802.8872433026631,470.6280634861366,272.262171608794,30.343945780922386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"109,141",29.391816529405492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.52747597787894,268.6197885606804,336.96597151756293,264.93819395981586,122.79253423634698,9.695098161697388,114.0639034757427,271.85135951977156,327.85340946234913,268.17054049454487,126.01177256341074,9.695098161697388,117.29585948083914,271.7881716167226,327.85344808615895,271.402066154106,119.54818051095103,9.695098161697388,120.52747597787894,271.78820404164935,346.80051322450834,288.27082891744726,142.17099516625498,9.695098161697388,117.29563775156058,279.8742884981866,340.336836533453,291.50273175520056,138.9392608904371,9.695098161697388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
