year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year,selection_ratio_bootstrap,selection_ratio_ci_low,selection_ratio_boot_median,selection_ratio_ci_high
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,57330.68451869721,29153190.710308403,148,1132,239485.03885781812,99476537.31743054,0.23939150767883396,0.29306599823916574,0.8168518665323672,-0.2918536209177655,1.966532071510972,0.8168518665323674,0.7299285236512513,0.8185050242002496,0.9144257491436708
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,98609.74707605886,29991591.16431646,152,1123,239485.03885781812,99476537.31743054,0.41175744232859285,0.30149412085598654,1.3657229572488923,0.44966485643940285,3.28791315325021,1.3657229572488925,1.3011520572136483,1.3656693751658888,1.4326249917316076
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,60767.35422065866,15788912.739563294,128,1083,239485.03885781812,99476537.31743054,0.25374175568744456,0.15871996719367834,1.5986757064901336,0.6768773158739413,3.8487358327334342,1.5986757064901342,1.4780054828379174,1.5976204672674532,1.7221286514982999
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,17734.51692398576,7945812.449217174,106,1043,239485.03885781812,99476537.31743054,0.07405271330755119,0.0798762468365984,0.9270930500658059,-0.10921394899076052,2.231932484856596,0.9270930500658042,0.7667001909542067,0.9286879700589199,1.0864486803000963
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,4652.653224908604,9550316.347392412,75,979,239485.03885781812,99476537.31743054,0.019427740651769387,0.09600571757858102,0.2023602462620803,-2.305002194942321,0.4871726815812703,0.2023602462620804,0.15467407562667113,0.20255955981057,0.2539006605729463
1987,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,390.08289350902334,7046713.906632797,25,852,239485.03885781812,99476537.31743054,0.0016288403458080524,0.07083794929598995,0.022993894684925034,-5.442605340650207,0.05535670933679506,0.022993894684925024,0.012958415559209333,0.022478053381493494,0.034356943917833255
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,94459.08868427838,30045684.895190675,215,1133,333550.80226254184,101273720.70337859,0.28319250933753864,0.2966779998455051,0.9545450268810326,-0.06711484222846727,3.1438487427989426,0.954545026881033,0.8539566188694852,0.9552522145770488,1.0556676063017971
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,143424.5665081903,30610840.64642974,228,1128,333550.80226254184,101273720.70337859,0.42999316906244195,0.30225847765666747,1.4226008560489976,0.5085309367946341,4.685417436417855,1.4226008560489976,1.3527392477752838,1.4221862113550547,1.5030776971096016
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,71808.50725980927,15932475.72139369,187,1085,333550.80226254184,101273720.70337859,0.21528506833956865,0.1573209279834642,1.3684451973369811,0.45253765968402543,4.507052671254774,1.3684451973369804,1.2422507214255962,1.3664353088217682,1.4997067255737817
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,18199.86779329169,7992116.117066291,138,1050,333550.80226254184,101273720.70337859,0.05456400545235792,0.07891599184426594,0.6914188642529563,-0.5323681291335608,2.277227648685917,0.691418864252955,0.5495852040650081,0.6881386401986807,0.8419855116590759
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,5101.085505932453,9603809.88309285,107,984,333550.80226254184,101273720.70337859,0.01529327907872135,0.09483022660164256,0.16127008894499947,-2.632449210840543,0.5311522789422065,0.16127008894499942,0.11342626942409058,0.15976092361043515,0.2100069616044027
1988,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,557.6865110397339,7088793.440205344,40,858,333550.80226254184,101273720.70337859,0.0016719687293714621,0.0699963760684548,0.023886504177535083,-5.387660460918554,0.07867157023883872,0.023886504177535087,0.01409022845685334,0.02330151055220565,0.036715844999585585
1989,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,41964.45262398626,30820482.599053103,205,1134,149781.16762881092,102673635.56153613,0.2801717551567161,0.3001791300219543,0.9333485480360514,-0.09951215569671602,1.361576753028375,0.9333485480360514,0.8289113306275708,0.9358823446280086,1.0442092338974815
1989,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,62902.39177020765,31082899.826826338,198,1128,149781.16762881092,102673635.56153613,0.4199619536021574,0.30273496849341813,1.3872264432884234,0.4722033045644468,2.0236976640100757,1.3872264432884223,1.327055533298558,1.3867448152250414,1.4542494139553355
1989,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,32768.66654108553,16021709.840328425,168,1086,149781.16762881092,102673635.56153613,0.21877694679409324,0.15604502317175686,1.4020116909033882,0.4874983795468384,2.0452665082351666,1.4020116909033884,1.2649969801120746,1.4005407866506059,1.5395222183151556
1989,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,9013.355591854395,8015503.307406852,124,1053,149781.16762881092,102673635.56153613,0.060176828199065564,0.07806778501188713,0.7708279181983021,-0.37551927011823444,1.124490284162875,0.7708279181983021,0.6146621425435053,0.7684977720916677,0.9116994208997874
1989,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,2868.240290634305,9628393.707017919,81,997,149781.16762881092,102673635.56153613,0.01914953886420758,0.09377669013431655,0.2042036121852846,-2.29191970841844,0.29789395592991896,0.20420361218528446,0.1498575162304023,0.202585001510564,0.2587056863517182
1989,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,264.06081104278564,7104646.280903489,23,862,149781.16762881092,102673635.56153613,0.0017629773837601775,0.06919640316666698,0.025477876061185678,-5.294611176062494,0.0371673410050761,0.025477876061185654,0.014187266827641392,0.025010116582473877,0.03890970197980138
1990,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,55919.334612232095,31736424.847278688,216,1135,223564.528770472,104495361.80669212,0.2501261489010318,0.3037113255417832,0.823565431598041,-0.2800448194445406,1.7619922496414093,0.8235654315980403,0.7093299926863949,0.8333229856946429,0.9637809020113772
1990,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,88580.86454555007,31716730.60040811,221,1125,223564.528770472,104495361.80669212,0.39622056787234694,0.30352285548406893,1.3054060368549196,0.38449861617842396,2.7928750179695467,1.305406036854921,1.236100609575142,1.3076799965030732,1.3941909709827336
1990,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,56248.69929407624,16177796.146721644,174,1087,223564.528770472,104495361.80669212,0.2515993910278376,0.15481831793308917,1.6251267575234618,0.7005522506447326,3.4769074096334673,1.6251267575234625,1.3907824185488071,1.6126443188566706,1.8253534414736123
1990,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,17379.463586806316,8060135.834725533,134,1056,223564.528770472,104495361.80669212,0.07773801900680483,0.07713391001637111,1.007831950828183,0.01125509923603582,2.156224652186414,1.0078319508281826,0.7502888845176336,0.9979829809013647,1.2122660923526252
1990,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,4869.252199409522,9669572.789331561,86,1001,223564.528770472,104495361.80669212,0.02178007497964339,0.09253590419849907,0.2353689107843252,-2.0870043234462337,0.5035643565123961,0.23536891078432504,0.17212586962593765,0.2331216298232946,0.2888759292118742
1990,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,566.9145323977751,7134701.5882265875,37,867,223564.528770472,104495361.80669212,0.002535798212335427,0.06827768682618854,0.037139486268635544,-4.750902330420019,0.07945875877041246,0.037139486268635516,0.02247493970268817,0.03669780707151469,0.058325351716054914
