grid_id,grid_area_km2,entry_all__2007,entry_all__2008,entry_all__2009,entry_all__2010,entry_all__2011,entry_productive__2007,entry_productive__2008,entry_productive__2009,entry_productive__2010,entry_productive__2011,exp__2007__00_03,exp__2007__03_06,exp__2007__06_09,exp__2007__09_12,exp__2007__12_20,exp__2007__gt_20,exp__2008__00_03,exp__2008__03_06,exp__2008__06_09,exp__2008__09_12,exp__2008__12_20,exp__2008__gt_20,exp__2009__00_03,exp__2009__03_06,exp__2009__06_09,exp__2009__09_12,exp__2009__12_20,exp__2009__gt_20,exp__2010__00_03,exp__2010__03_06,exp__2010__06_09,exp__2010__09_12,exp__2010__12_20,exp__2010__gt_20,exp__2011__00_03,exp__2011__03_06,exp__2011__06_09,exp__2011__09_12,exp__2011__12_20,exp__2011__gt_20,sel__2007__00_03,sel__2007__03_06,sel__2007__06_09,sel__2007__09_12,sel__2007__12_20,sel__2007__gt_20,sel__2008__00_03,sel__2008__03_06,sel__2008__06_09,sel__2008__09_12,sel__2008__12_20,sel__2008__gt_20,sel__2009__00_03,sel__2009__03_06,sel__2009__06_09,sel__2009__09_12,sel__2009__12_20,sel__2009__gt_20,sel__2010__00_03,sel__2010__03_06,sel__2010__06_09,sel__2010__09_12,sel__2010__12_20,sel__2010__gt_20,sel__2011__00_03,sel__2011__03_06,sel__2011__06_09,sel__2011__09_12,sel__2011__12_20,sel__2011__gt_20
"105,140",73.0836367871529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57790937049715,110.88405387915817,93.23716468063056,94.23987794670404,124.9617746998282,49.879968350541354,58.57806195838778,104.40937369384018,96.47454470840155,87.76514435562433,121.72433697476106,47.86131896598666,63.24998545459672,119.37760365243052,102.94924221132315,89.78374612939123,124.65708184242249,47.86123790366977,53.53770732692643,116.14008884523429,88.78047875049067,101.51431051890054,137.18764916307785,51.07316500626359,56.77495837024613,109.16998750836241,98.56856944327262,112.88930281470803,144.8812454279731,54.31051141701493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"100,141",66.3866925942657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.91425185110057,445.5963816250072,416.98361355370173,573.2614339725644,1553.0498383138693,2239.2762625675573,129.91425185110057,442.3564688766704,420.22351581162104,572.7532107568254,1557.916084981432,2213.356960819282,129.91425185110057,436.791431721519,420.22351581162104,566.273363087224,1557.916100240221,2206.8770819168467,123.43441133405649,436.7914422119365,416.9835889965881,564.4819129878399,1539.9758305811415,2143.5272347627897,123.43441133405649,436.7914422119365,416.9835889965881,561.2419957095501,1536.7359078192244,2120.8478748499174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"101,141",578.0662436058642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.9570709013474,6365.627158859664,6998.8681155251525,6418.481549404181,13662.135919427872,9212.497138911602,3180.518421246959,6326.1027132305435,6945.419088487064,6384.470315297444,13579.05768627092,9076.566311188304,3126.1037370691115,6277.506805303984,6902.222270977731,6355.312902768453,13474.332272246305,8964.318731480016,3096.9460727701003,6233.484413276934,6806.110187781091,6305.281890950483,13412.052777258556,8833.582035090876,3093.706178379994,6194.607975612902,6817.98906399035,6298.802209458631,13389.374987570445,8803.649227506972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"102,141",982.0263574565336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064.372608776653,14711.515620860866,17600.222165666844,14785.868365054037,18577.783752221687,5351.0427729438325,6067.38305142627,14678.271339164994,17616.41836126926,14756.70221899257,18552.94808413468,5347.3963584170615,6047.947763950684,14620.447647190094,17540.147332874003,14689.524831809249,18439.022639989853,5294.34805389853,6038.229379207947,14594.53311738968,17503.043313347127,14646.703307967093,18309.63842456481,5237.831090074426,6028.51186540828,14549.549246702007,17467.195670005392,14609.089801844428,18197.91615444632,5176.284559350855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"103,141",1453.4043743663183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13221.44616298395,29772.928259130556,22738.962817520256,12056.563896663516,8604.494217867945,964.6817563421587,13153.256993963203,29720.3703366691,22712.864860231737,11934.649433852177,8477.075792803484,916.0990196115831,13096.584316585577,29648.898614009224,22642.85528277603,11879.954874784806,8394.490050620658,906.3825565225939,13009.139414165533,29519.35490949949,22499.538343128504,11737.453230888703,8270.075860835057,844.8590738146912,12958.89453326113,29327.7664338944,22339.885965460424,11621.211369025474,8024.80258710431,799.5285970042734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"104,141",2205.7437286092463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15128.356066792618,27920.26209443784,20186.225773747763,11989.769764177472,10884.258811924505,3340.375257290111,14860.698521067114,27270.005073634315,19664.935792620974,11564.18591929604,10585.848062467576,3132.090423786874,14755.975712453615,27023.397476545968,19398.49051920666,11435.748453072007,10402.379654187782,3058.167506537718,14454.031276917924,26375.190934256945,19026.12439419896,11162.685060989155,10100.277933969684,2902.218745988958,14292.439983902725,26026.61806129942,18679.098994037216,10985.864083680919,9765.154480369418,2706.859803162369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"105,141",1503.226002040825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.2428741885174,5682.907098299851,5406.59167878394,4950.687913600136,8362.479479082895,3910.044248193852,3896.4520836802094,5498.59526650859,5302.999980688095,4793.323537872352,8078.51441193936,3669.990787729562,3915.3391795139696,5425.145916177714,5243.133407199149,4696.006808706359,7991.512556705287,3510.4258583872925,3828.7607601399523,5330.762937168048,5113.279463316412,4521.64441595545,7653.550624461266,3409.0125058024532,3731.149765434453,5227.466627001296,5038.018824873718,4359.796296579698,7306.805615124982,3155.1972831211833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"106,141",215.08809679289737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4986.295389095942,3668.2634212493895,2320.5309753249676,880.8079119018479,336.20530249932233,29.11402789658191,4902.966638068592,3611.4207534051407,2268.75321839557,862.8368411129596,341.0662312030792,25.877731958090088,4869.640858410854,3582.2812113051323,2273.59995080069,861.2116568518619,341.0662312030792,29.11404100960376,4842.951194108702,3562.876799848968,2238.0016665561525,863.0007301031375,337.83022089004515,29.11404100960376,4786.6815094499025,3462.7448302820617,2225.958526533725,840.3480585275912,331.35704202651976,22.641471067129395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"108,141",96.10327355010156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.56671014112584,887.2982482713812,732.709745423934,448.8410683697345,325.40966375014364,30.69853960205527,451.4515899078519,880.8329665464514,729.4758536983938,418.4955034601922,283.39119584700643,30.698558675541598,454.6969648333157,875.9909840948442,747.2461321980345,421.7273216593499,289.8049859074986,30.698558675541598,460.8063896497091,875.2810808228512,735.7756883901708,418.4960978377099,287.34576206581266,30.698558675541598,480.1993399461111,885.7001357125301,742.6076903502146,437.78756847101096,272.8065867358563,27.46662985016318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"109,141",29.391816529405492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.9477970198089,299.01266243691543,326.61213410414905,291.04724311267637,163.4627678833756,6.463370323181152,132.94775791916192,304.1075618080065,328.23407390538387,294.0889718897203,168.30409407148176,6.463370323181152,129.71592636856377,299.4309902611901,322.1888091451982,292.9355298678081,161.84040498266035,6.463370323181152,136.17964812073052,302.8907923661027,330.26211928947305,289.7036270300548,152.14513778219037,6.463370323181152,136.17965455803215,311.86398807132946,323.79864477737283,306.8005196141262,147.3036884326561,6.463370323181152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"100,142",1338.9962657464637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7242.656777655845,18786.846275047224,21416.326703996285,14854.506472778321,27509.496368359585,14616.194518435235,7184.337804829841,18737.433841307953,21357.296148182362,14846.540049161164,27354.792500375297,14552.209075583663,7174.61822108007,18690.626611149542,21230.938341976613,14789.529773502723,27156.34344356948,14430.539972600747,7107.036860448239,18603.02126355919,21097.31273627281,14600.520632495132,26772.581885343436,14202.257816458683,7081.11724041116,18574.67485586802,21051.81383467842,14533.193520785313,26599.315396070477,14082.736050972284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"101,142",2504.6089561232607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10273.436695715962,26772.09709459847,33242.17733977169,27176.98694576656,53902.50706390399,34526.26588684531,10215.121920249043,26618.761905435487,33017.021050456,26898.191825702143,53233.79688584103,33965.775077943246,10081.745028086272,26451.732892753564,32845.31370485904,26728.913836295,52653.366410219896,33538.316008044225,9900.318938084212,26202.46071914224,32568.866668056973,26484.863479609583,51984.205683466025,32907.29588491216,9879.81262660868,26098.7892940381,32384.199578356274,26426.547934289072,51741.591391325,32653.487177077466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
