entry_all__post_law_pre_zae_2002_2008,entry_all__post_zae_2020_2023,entry_all__pre_law_1986_2001,entry_all__zae_2009_2019,entry_productive__post_law_pre_zae_2002_2008,entry_productive__post_zae_2020_2023,entry_productive__pre_law_1986_2001,entry_productive__zae_2009_2019,exp__post_law_pre_zae_2002_2008__00_03,exp__post_law_pre_zae_2002_2008__03_06,exp__post_law_pre_zae_2002_2008__06_09,exp__post_law_pre_zae_2002_2008__09_12,exp__post_law_pre_zae_2002_2008__12_20,exp__post_law_pre_zae_2002_2008__gt_20,exp__post_zae_2020_2023__00_03,exp__post_zae_2020_2023__03_06,exp__post_zae_2020_2023__06_09,exp__post_zae_2020_2023__09_12,exp__post_zae_2020_2023__12_20,exp__post_zae_2020_2023__gt_20,exp__pre_law_1986_2001__00_03,exp__pre_law_1986_2001__03_06,exp__pre_law_1986_2001__06_09,exp__pre_law_1986_2001__09_12,exp__pre_law_1986_2001__12_20,exp__pre_law_1986_2001__gt_20,exp__zae_2009_2019__00_03,exp__zae_2009_2019__03_06,exp__zae_2009_2019__06_09,exp__zae_2009_2019__09_12,exp__zae_2009_2019__12_20,exp__zae_2009_2019__gt_20,grid_area_km2,grid_id,sel__post_law_pre_zae_2002_2008__00_03,sel__post_law_pre_zae_2002_2008__03_06,sel__post_law_pre_zae_2002_2008__06_09,sel__post_law_pre_zae_2002_2008__09_12,sel__post_law_pre_zae_2002_2008__12_20,sel__post_law_pre_zae_2002_2008__gt_20,sel__post_zae_2020_2023__00_03,sel__post_zae_2020_2023__03_06,sel__post_zae_2020_2023__06_09,sel__post_zae_2020_2023__09_12,sel__post_zae_2020_2023__12_20,sel__post_zae_2020_2023__gt_20,sel__pre_law_1986_2001__00_03,sel__pre_law_1986_2001__03_06,sel__pre_law_1986_2001__06_09,sel__pre_law_1986_2001__09_12,sel__pre_law_1986_2001__12_20,sel__pre_law_1986_2001__gt_20,sel__zae_2009_2019__00_03,sel__zae_2009_2019__03_06,sel__zae_2009_2019__06_09,sel__zae_2009_2019__09_12,sel__zae_2009_2019__12_20,sel__zae_2009_2019__gt_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.6259835589166,803.7499100152185,654.6143314585966,654.8789683117586,748.119635511847,389.2259266974879,131.61658585305304,270.42917187634635,211.1529451940574,281.60092211517633,371.990218445834,137.58019823093042,1224.427392581865,2317.6747118847043,1689.9230177954132,1641.214729081883,2815.052004543005,1520.6700984973534,527.0222279670191,1022.4671237543517,938.0140416538014,1081.5258832164839,1560.3627409374012,771.6746104595708,73.0836367871529,"105,140",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.6800234093386,3169.425189257603,2977.203774948681,4054.440666886872,11104.457499284366,15933.313969072638,432.1792215786728,1721.2464647152844,1590.1764748218015,2133.718145902484,5727.431813269035,7773.811710635353,2117.5071304171697,7455.935344434252,7055.7372343699135,9796.330091988806,26701.93897970517,39329.40970399894,1315.6595804429521,4749.627177360946,4541.460669719471,6095.764134508021,16650.936373868644,22981.54955356916,66.3866925942657,"100,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22602.785297739738,44779.20149089121,49380.245246112114,45227.94631914345,96348.07308461714,65593.99659759017,11958.487344477224,24099.353727090125,26522.79122732387,24121.26001909106,51347.64076716198,32553.0543535672,51093.99705721163,100846.3696649645,111060.03804481824,101568.09606737625,220600.72676505856,153166.82142598584,33542.968570604506,67458.33713033152,74029.4559541431,68001.03830987145,144831.433877498,93688.55305394845,578.0662436058642,"101,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42581.17395375008,103280.7059698937,123706.65668660612,103973.85587695718,130960.95478326012,38215.19617786127,23024.147819584494,56615.242080607124,68087.99827237504,56400.58539865624,69452.00716737485,18928.767279283675,92878.02636890131,225558.38278247608,272018.9756274616,234425.2706046273,293774.31388933794,86938.84833470138,65342.71399557917,158989.9103095494,190214.3709406479,158501.76499003987,196654.91259752534,54750.24910941779,982.0263574565336,"102,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92957.77257745966,209759.2110076642,160334.96492154177,85426.74044915834,60753.23127854664,6948.848260155846,51139.18874069383,115777.72987320097,88560.89619040958,45714.16425625671,30270.75855745895,2757.8215921476776,199682.673515921,451721.8710934461,343583.04563141713,185025.12409833178,131125.20434705884,15646.511350981395,141522.26023694396,320469.50106013427,244194.85598848757,126786.18011769782,86108.9782963678,8391.195482489642,1453.4043743663183,"103,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108925.49991942667,201335.4372413177,145933.0313615715,85667.25043389751,77918.12094979941,23669.382081036478,55058.744297032266,101295.31961665339,71640.70818614586,42599.4593965493,35965.76363878811,8864.764497130525,248671.32064731914,450037.0671288837,316476.09638902725,180520.24478002713,150704.26435361936,42306.933396830274,154517.70634696062,282858.15422917163,201433.26273295272,118576.48624723473,101724.16778562115,25727.029112246455,2205.7437286092463,"104,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29609.2538636647,40726.723763853886,39105.781818134645,34462.90825701787,58574.66981252783,28452.56611697253,15021.946038778155,21564.576638744395,19106.27105788437,16318.0443691637,25061.920405178447,9497.890583837734,71814.79366025364,90105.32619777846,83184.2868459739,73458.72141562817,126958.71518614993,74219.41012457588,41009.89880225238,57091.3717499546,53672.64041772636,46972.40975190237,76248.03799748233,30930.27862936562,1503.226002040825,"105,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35190.057217310925,26033.773606505118,16227.03329435797,6250.67941788692,2413.345344322803,213.5072207768758,18902.859223279767,14285.796717839146,9541.465122495913,3360.6980895668853,1505.1021875138376,109.98288027071484,78408.40080846244,54691.241874376,33069.99144210348,13519.29620587966,5622.889303048452,533.8270247777303,52459.10557834401,38581.96102948469,24883.337014598474,9275.505478792564,3926.5228250681184,278.181472494088,215.08809679289737,"106,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161.801734731712,6268.418008377972,5233.560140394697,3141.9240749480678,2245.4016662943595,190.64510616414685,2084.387438592724,4048.3458253131193,3574.5067238873125,2047.5677257444345,1354.769019424214,103.42910623550415,7491.776479835137,14468.475862685373,12352.860839636185,6989.666000579386,4173.65269093046,440.5185932972852,5199.326493137959,10009.570477473502,8565.05875975291,4850.087725134457,3092.499056837605,261.7645401187972,96.10327355010156,"108,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0563638518838,2092.9996343350876,2332.3017594028915,1992.3385998202307,1082.4041212558745,61.402231216430664,582.1953590869904,1377.3385102617972,1416.6742750841029,1164.662288430158,659.7992516938377,25.85423469543457,1992.4824321185843,4430.055228356754,5356.601305117327,4365.37660635032,2149.5046090668325,155.1215705871582,1470.3111698075838,3463.253924580182,3676.1429826091316,3180.727452637168,1676.4146808755163,58.170430183410645,29.391816529405492,"109,141",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
