period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_exposure,grids_with_entry,selected_total_period,exposure_total_period,selected_share,available_share,selection_ratio,conversion_rate_per_1000_ha_year,log2_selection_ratio
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,974039.7425154032,303582321.5278773,1145,353,3142278.8198081264,878177679.6182326,0.30997877603200086,0.34569578409218127,0.8966808109795857,3.208486375666507,-0.15733357057587913
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,1381660.1975571848,268039191.36396903,1141,345,3142278.8198081264,878177679.6182326,0.4397000638032343,0.3052220496887291,1.4405907576194061,5.154694694183865,0.5266605535507961
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,601439.755492921,125857075.963655,1116,308,3142278.8198081264,878177679.6182326,0.19140241524768514,0.1433161863307303,1.3355254570198123,4.778752016029713,0.4174074760600352
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,140550.08240848524,60375116.03791185,1081,254,3142278.8198081264,878177679.6182326,0.044728711380573,0.06875045613110838,0.6505951218021672,2.327947201297774,-0.6201680898741437
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,41174.80524755085,70293479.0220985,1044,202,3142278.8198081264,878177679.6182326,0.013103485593956639,0.08004471151288764,0.16370207782992516,0.5857556891529943,-2.610855461188281
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,3414.2365865810243,50030495.70272092,901,103,3142278.8198081264,878177679.6182326,0.0010865479425500198,0.056970812244363254,0.019072010732259198,0.06824310930014113,-5.712399237024095
post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,203212.00472718407,179303482.09373173,1146,361,582929.8944162005,497689920.6764667,0.3486045349084374,0.36027147556056605,0.9676162520666522,1.1333410949652059,-0.04749309388385219
post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,255136.5504511618,148519891.75323907,1143,365,582929.8944162005,497689920.6764667,0.4376796470640419,0.29841852443258016,1.4666638000983887,1.7178611392678822,0.5525382033097693
post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,94251.49521322812,69620695.52301492,1120,325,582929.8944162005,497689920.6764667,0.1616858152516268,0.13988769438686954,1.155825864171247,1.3537856021859314,0.2089240588936898
post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,21589.854796356314,33803420.92459517,1086,282,582929.8944162005,497689920.6764667,0.037036794652602914,0.06792064600916392,0.5452950881475107,0.6386884583225025,-0.874890934730274
