grid_id,grid_area_km2,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years
"100,141",66.3866925942657,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,0.0,22981.54955356916
"100,141",66.3866925942657,post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,0.0,432.1792215786728
"100,141",66.3866925942657,post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,0.0,1721.2464647152844
"100,141",66.3866925942657,post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,0.0,1590.1764748218015
"100,141",66.3866925942657,post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,0.0,2133.718145902484
"100,141",66.3866925942657,post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,0.0,5727.431813269035
"100,141",66.3866925942657,post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,0.0,7773.811710635353
"101,141",578.0662436058642,pre_law_1986_2001,"Pré-Lei, 1986–2001",00_03,0–3%,0.0,51093.99705721163
"101,141",578.0662436058642,pre_law_1986_2001,"Pré-Lei, 1986–2001",03_06,>3–6%,0.0,100846.3696649645
"101,141",578.0662436058642,pre_law_1986_2001,"Pré-Lei, 1986–2001",06_09,>6–9%,0.0,111060.03804481824
"101,141",578.0662436058642,pre_law_1986_2001,"Pré-Lei, 1986–2001",09_12,>9–12%,0.0,101568.09606737625
"101,141",578.0662436058642,pre_law_1986_2001,"Pré-Lei, 1986–2001",12_20,>12–20%,0.0,220600.72676505856
"101,141",578.0662436058642,pre_law_1986_2001,"Pré-Lei, 1986–2001",gt_20,>20%,0.0,153166.82142598584
"101,141",578.0662436058642,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,0.0,22602.785297739738
"101,141",578.0662436058642,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,0.0,44779.20149089121
"101,141",578.0662436058642,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,0.0,49380.245246112114
"101,141",578.0662436058642,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,0.0,45227.94631914345
"101,141",578.0662436058642,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,0.0,96348.07308461714
"101,141",578.0662436058642,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,0.0,65593.99659759017
"101,141",578.0662436058642,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,0.0,33542.968570604506
"101,141",578.0662436058642,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",03_06,>3–6%,0.0,67458.33713033152
"101,141",578.0662436058642,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",06_09,>6–9%,0.0,74029.4559541431
"101,141",578.0662436058642,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",09_12,>9–12%,0.0,68001.03830987145
"101,141",578.0662436058642,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",12_20,>12–20%,0.0,144831.433877498
"101,141",578.0662436058642,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,0.0,93688.55305394845
"101,141",578.0662436058642,post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,0.0,11958.487344477224
"101,141",578.0662436058642,post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,0.0,24099.353727090125
"101,141",578.0662436058642,post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,0.0,26522.79122732387
"101,141",578.0662436058642,post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,0.0,24121.26001909106
"101,141",578.0662436058642,post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,0.0,51347.64076716198
"101,141",578.0662436058642,post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,0.0,32553.0543535672
"102,141",982.0263574565336,pre_law_1986_2001,"Pré-Lei, 1986–2001",00_03,0–3%,0.0,92878.02636890131
"102,141",982.0263574565336,pre_law_1986_2001,"Pré-Lei, 1986–2001",03_06,>3–6%,0.0,225558.38278247608
"102,141",982.0263574565336,pre_law_1986_2001,"Pré-Lei, 1986–2001",06_09,>6–9%,0.0,272018.9756274616
"102,141",982.0263574565336,pre_law_1986_2001,"Pré-Lei, 1986–2001",09_12,>9–12%,0.0,234425.2706046273
"102,141",982.0263574565336,pre_law_1986_2001,"Pré-Lei, 1986–2001",12_20,>12–20%,0.0,293774.31388933794
"102,141",982.0263574565336,pre_law_1986_2001,"Pré-Lei, 1986–2001",gt_20,>20%,0.0,86938.84833470138
