cnpj_clean,uf_x,delta_neea,mean_first_key_year,neea_fitted,neea_residual,residual_z,lisa_residual_class,local_p_fdr
15527906000721,MS,-16.659999999999997,2009.929775631383,-0.39923668679431756,-16.26076331320568,-4.191973882166422,NS,0.4989130434782609
15527906003585,MS,-12.25,2011.0308515192332,0.3369489765636047,-12.586948976563605,-3.244876046074948,NS,0.4989130434782609
12282034001762,SP,-10.619999999999996,2009.9308666250884,-0.28377427934992383,-10.336225720650072,-2.6646466359886363,NS,0.5
45483450002164,SP,-9.339999999999996,2008.891560140346,0.7099694905708027,-10.049969490570799,-2.590850675922896,NS,0.4989130434782609
15527906002937,MG,-9.78,2010.882590934352,0.08348858572288975,-9.86348858572289,-2.542776482381786,NS,0.4989130434782609
04165520000296,MT,-14.070000000000007,2013.975341201156,-5.28311121354492,-8.786888786455087,-2.2652324241387602,NS,0.4989130434782609
49976251000103,SP,-6.279999999999994,2005.44337791408,2.4953945262391173,-8.775394526239111,-2.2622692398347946,NS,0.4989130434782609
15527906003666,SP,-7.700000000000003,1994.838449502479,-0.022147008962463133,-7.67785299103754,-1.9793264676205553,NS,0.4989130434782609
45483450000110,SP,-4.340000000000003,2006.0516191166207,3.254895368226226,-7.594895368226229,-1.9579402521364875,NS,0.5
49049638000106,SP,0.0,1996.33981076554,7.496804882104705,-7.496804882104705,-1.9326528318604346,NS,0.4989130434782609
00297598000122,MT,-8.019999999999996,2007.679178252734,-0.8195115583195332,-7.200488441680463,-1.8562633810585638,NS,0.4989130434782609
49213747011585,SP,-4.129999999999996,1989.296353679848,2.681432373455923,-6.8114323734559195,-1.755965944506418,NS,0.5
75177857000180,PR,0.0,2005.601373727624,6.209237221692284,-6.209237221692284,-1.6007219193928859,NS,0.4989130434782609
09538989000751,SP,-0.9299999999999996,2001.930251138412,5.0657388958351035,-5.995738895835103,-1.5456827192864087,NS,0.4989130434782609
08070508015876,SP,-8.199999999999996,2000.3567981240265,-2.2560544923444823,-5.943945507655513,-1.5323305459390828,NS,0.4989130434782609
44346583000182,SP,14.28,1991.6191084476548,2.978870119194543,11.301129880805457,2.913395908102181,NS,0.4989130434782609
08070508015795,SP,15.010000000000003,1994.516631876245,3.9221349876041565,11.087865012395847,2.8584168925949114,NS,0.4989130434782609
03445208000455,SP,14.940000000000005,2009.7522968794392,6.413870156024586,8.526129843975419,2.198009585004072,NS,0.4989130434782609
05980986000127,MG,13.790000000000006,2011.5736374572675,5.664015652412612,8.125984347587394,2.094853328583875,NS,0.4989130434782609
08391345000397,SP,13.11,2002.1915778933576,5.19594372295704,7.91405627704296,2.040218935381759,NS,0.4989130434782609
47902283000120,MS,4.829999999999998,2013.5099904162632,-3.0677252691846775,7.897725269184676,2.036008852675753,NS,0.4989130434782609
09538989000166,MS,11.839999999999996,2012.852783372735,4.46404751988883,7.375952480111167,1.9014974609230024,NS,0.4989130434782609
49605157000210,SP,5.509999999999991,2001.2551022612151,-1.8083977886762845,7.318397788676275,1.8866600416306816,NS,0.4989130434782609
07398533000112,SP,11.329999999999998,2010.413932584724,4.026437295053345,7.303562704946653,1.8828356034824534,NS,0.4989130434782609
10249419000216,GO,11.849999999999994,2012.305155367587,4.585403531265406,7.264596468734588,1.8727902297603813,NS,0.4989130434782609
49972326003861,MS,7.969999999999999,2013.3352643938845,1.1454185095052907,6.824581490494708,1.7593557457195432,NS,0.4989130434782609
07670089000142,MT,0.0799999999999983,2013.214148253341,-6.64853582858362,6.7285358285836185,1.7345954747241643,NS,0.4989130434782609
08070566001769,MT,5.720000000000006,2014.0892176777695,-0.9803988105582597,6.700398810558266,1.7273418395526505,NS,0.4989130434782609
75084871000130,PR,2.8699999999999903,2004.1724958468888,-2.984988958860683,5.854988958860673,1.5093978261148229,NS,0.4989130434782609
08355201000113,MG,6.479999999999997,2013.123995448005,0.7854196339425883,5.694580366057409,1.468044993006411,NS,0.4989130434782609
