outcome,overlay_cluster,overlay_lisa_class,cell_count,cnpj_clean,emissor_x,cidade_x,uf_x,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026,cd_ibge,lisa_class,local_I,p_value,outcome_value,cluster,overlay_cell,lisa_sig,area_1985,area_1995,area_2005,area_2015,area_2024,cidade_y,emissor_y,uf_y,cane_area_total_ha,mean_first_key_year,dominant_first_key_year,share_1985,share_1995,share_2005,share_2015,share_2024,share_old_le_1995,share_mid_2000_2010,share_recent_ge_2015,share_recent_ge_2010,schema,buffer_km,scale_m,area_1990,area_2000,area_2010,area_2020,share_1990,share_2000,share_2010,share_2020,_log_scale,share_cane_slope_le12,neea_residual,neea_fitted,residual_z,local_i,local_p_raw,local_q,local_p_fdr,local_significant_fdr,lisa_residual_class
delta_neea,C2_extensive_vulnerable_frontier,ns,61,02773950000184,GOIASA GOIATUBA ÁLCOOL LTDA. - GOIATUBA - GO,GOIATUBA,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5458178.81561681,7995713.47454414,62.8,63.29,63.9,62.8,t0_2022,1.1000000000000014,96.72,96.47,97.23,96.72,t0_2022,0.5100000000000051,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219232/2019-04,48610.205457/2023-51,48610.232569/2023-85,True,True,True,5209101,ns,-0.0272688093351516,0.121,-0.0525965868383524,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,901.997594833374,13847.400179126216,25622.5457500383,,GOIATUBA,GOIASA GOIATUBA ÁLCOOL LTDA. - GOIATUBA - GO,GO,64965.537565309874,2010.3259713507232,2015.0,0.0,0.0138842473815689,0.213149936075037,0.3944021201129898,,0.0247568483118109,0.5808410315751991,0.3944021201129898,0.7466358315993463,pre_renovabio_1985_2015,25,300,706.3443641662598,1004.1972618103028,22883.052415335413,,0.010872600930242,0.0154573840138055,0.3522337114863565,,11.081627609631774,0.9799086310656472,-1.2035365005428353,2.3035365005428368,-0.3102679424901162,0.03301113213270942,0.366,3,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,02783009000141,ANICUNS S.A. ÁLCOOL E DERIVADOS - Anicuns - GO,Anicuns,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5432875.6795387,8180131.2482969,60.8,48.77,57.15,60.8,t0_2022,-3.649999999999999,100.0,79.23,79.22,100.0,t0_2022,-20.78,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219054/2019-11,48610.215958/2023-46,48610.200578/2024-98,True,True,True,5201306,ns,-0.0400711261924844,0.494,-1.0736057918201782,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,2311.971594096165,5424.136169396195,2831.6338260688035,,Anicuns,ANICUNS S.A. ÁLCOOL E DERIVADOS - Anicuns - GO,GO,19607.286913172404,2006.855670125648,2010.0,0.0,0.1179138962128898,0.2766387921702822,0.144417421880356,,0.1367335216614693,0.7188490564581747,0.144417421880356,0.5528154790944904,pre_renovabio_1985_2015,25,300,369.0017957687378,662.9656452627743,8007.577882579729,,0.0188196254485794,0.0338122070737581,0.4083980572141342,,9.883707557555628,0.908856919324168,-4.10148952996024,0.4514895299602415,-1.0573511622057337,0.1801757964896104,0.274,3,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,02859452000230,Vale do Verdão Sociedade Anônima Açúcar e Álcool - Turvelândia - GO,Turvelândia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5390070.82022688,8008629.18311183,60.1,61.56,65.38,60.1,t0_2022,5.279999999999994,91.35,97.17,96.81,91.35,t0_2022,5.460000000000008,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.200434/2020-16,48610.206156/2022-64,48610.209637/2025-74,True,True,True,5221551,ns,0.5303752224124578,0.061,0.8458915135456526,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,445.463082930621,17231.774975312925,25177.25034269819,,Turvelândia,Vale do Verdão Sociedade Anônima Açúcar e Álcool - Turvelândia - GO,GO,66718.78540290757,2010.223533523049,2015.0,0.0,0.0066767265057437,0.2582747103570919,0.3773637393225234,,0.0175238087726677,0.6051124519048091,0.3773637393225234,0.7187195729848692,pre_renovabio_1985_2015,25,300,723.7041540145874,365.7462358025944,22774.84661214866,,0.010847082266924,0.0054819078853712,0.3413558336623458,,11.108256820644176,0.9969344229912022,1.880104609004217,3.399895390995777,0.4846850830359696,-0.03945584708254526,0.392,4,0.4989130434782609,False,NS
delta_neea,C1_developed_diversified,ns,72,02896264000109,CENTROALCOOL S/A (EM RECUPERACAO JUDICIAL) - INHUMAS - GO,INHUMAS,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5482540.94731307,8186858.98042968,64.14,64.14,61.35,64.14,t0_2022,-2.789999999999999,95.72,95.72,90.88,95.72,t0_2022,-4.840000000000003,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.205783/2021-05,48610.205783/2021-05,48610.230284/2024-91,True,True,True,5210000,ns,0.0410141024484858,0.469,-0.8887493883918898,1,C1_developed_diversified × ns,ns,0.0,2082.0553508047965,2139.5288904190065,2370.1156101226807,,INHUMAS,CENTROALCOOL S/A (EM RECUPERACAO JUDICIAL) - INHUMAS - GO,GO,10641.51598483815,2006.7539918444984,2010.0,0.0,0.1956540171317012,0.2010548960756503,0.2227234929214578,,0.2093693719475881,0.5679071351309539,0.2227234929214578,0.575052353333022,pre_renovabio_1985_2015,25,300,145.95216751098633,154.55076599121094,3749.313199989469,,0.0137153548158868,0.0145233786437395,0.3523288604115641,,9.272612199682683,0.9050542021152804,-1.188230080450282,-1.6017699195497173,-0.3063219953029171,0.023597825424717098,0.395,3,0.4989130434782609,False,NS
delta_neea,C1_developed_diversified,ns,72,03345641000338,COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA - Astorga - PR,Astorga,PR,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5241507.72865172,7442842.79367438,46.22,46.22,51.42,46.22,t0_2022,5.200000000000003,90.01,90.01,91.16,90.01,t0_2022,1.1499999999999917,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.215700/2020-05,48610.215700/2020-05,48610.233676/2023-21,True,True,True,4102109,ns,0.3227624107620992,0.17,0.8286955690406974,1,C1_developed_diversified × ns,ns,255.25490474700928,6251.690961665733,8931.018455800822,10297.359454151228,,Astorga,COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA - Astorga - PR,PR,50777.67657033882,2006.3925356117,2010.0,0.0050269118633937,0.1231188857766206,0.1758847402840359,0.2027930411484464,,0.1693391371401367,0.6278678217114169,0.2027930411484464,0.5602078206372585,pre_renovabio_1985_2015,25,300,2091.702069989373,4801.958649642796,18148.692074341867,,0.0411933395001223,0.0945683019385688,0.357414779488812,,10.835231792893426,0.9141279788343885,-0.6049441333607248,5.804944133360728,-0.1559527039641461,-0.07113665948263466,0.087,2,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,03347747000109,COOPERATIVA AGROINDUSTRIAL DE RUBIATABA – Rubiataba - GO,,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5455886.18579172,8317126.04943407,64.0,65.01,64.87,64.0,t0_2022,0.8700000000000045,85.94,84.78,93.33,85.94,t0_2022,7.390000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.221526/2019-98,48610.206112/2022-34,48610.215932/2025-60,True,True,True,5218904,ns,0.0246671453334862,0.253,-0.1020349272901033,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,2876.356839924232,6053.437871409397,6455.470734057707,,Rubiataba,COOPERATIVA AGROINDUSTRIAL DE RUBIATABA – Rubiataba - GO,GO,26292.88381073522,2007.2990350785583,2010.0,0.0,0.1093967805368627,0.2302310357047185,0.2455215936192582,,0.1563669939810915,0.59811141239965,0.2455215936192582,0.5936957969065283,pre_renovabio_1985_2015,25,300,1234.982364654541,518.1321277618408,9154.503872927498,,0.0469702134442287,0.0197061734076613,0.3481742032872701,,10.177091636395916,0.9241385350780298,1.0159024674414106,-0.145902467441406,0.2618964760951355,-0.015385193885313075,0.422,4,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,03445208000455,UMOE BIOENERGY S.A. - Sandovalina - SP,Sandovalina,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5223359.88634961,7502626.33872067,48.8,64.75,63.74,48.8,t0_2022,14.940000000000005,97.06,96.7,94.4,97.06,t0_2022,-2.6599999999999966,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219057/2019-47,48610.226920/2022-18,48610.222728/2025-03,True,True,True,3545506,ns,0.7550158602395453,0.233,2.922301812519221,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,3075.566400415757,2522.318907924727,19907.04883129644,,Sandovalina,UMOE BIOENERGY S.A. - Sandovalina - SP,SP,76973.03462139206,2009.7522968794392,2010.0,0.0,0.0399564135095306,0.0327688640616974,0.2586236716431074,,0.0633548459478153,0.6780214824090771,0.2586236716431074,0.8729100592846032,pre_renovabio_1985_2015,25,300,1801.0483501583922,2383.564748218013,47283.48738337872,,0.0233984324382847,0.0309662307058838,0.6142863876414958,,11.251223431257635,0.952490128402818,8.526129843975419,6.413870156024586,2.198009585004072,0.5024020470427777,0.257,1,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,03937452000435,CRV industrial Ltda. - Capinópolis - MG,Capinópolis,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5454944.6800123,7925846.62700244,61.55,61.55,61.99,61.55,t0_2022,0.4400000000000048,99.24,99.24,94.37,99.24,t0_2022,-4.86999999999999,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.201311/2021-75,48610.201311/2021-75,48610.211054/2024-22,True,True,True,3112604,ns,-0.119629683429444,0.061,-0.1944631290042475,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,127.2024335861206,7564.12059768976,10209.321798021654,,Capinópolis,CRV industrial Ltda. - Capinópolis - MG,MG,34683.00963053609,2010.274996174084,2010.0,0.0,0.0036675719593298,0.2180929705428462,0.2943608962076066,,0.0058673961631866,0.6997717076292069,0.2943608962076066,0.7753062942166652,pre_renovabio_1985_2015,25,300,76.29652404785156,25.434406280517575,16680.633870910195,,0.0021998242038567,0.0007333390773021,0.4809453980090586,,10.454034042162105,0.9843275908466,-1.8177841530650234,2.257784153065028,-0.46861906457206753,-0.16647010104163945,0.152,2,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,LL,4,04165520000105,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Lambari D'Oeste - MT,Lambari D'Oeste,MT,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,4576007.98289422,8293081.4394439,59.24,59.24,56.53,59.24,t0_2022,-2.710000000000001,90.14,90.14,77.97,90.14,t0_2022,-12.170000000000002,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219560/2020-36,48610.219560/2020-36,48610.200575/2024-54,True,True,True,5105234,LL,0.6649988024216377,0.023,-0.871553443886933,2,C2_extensive_vulnerable_frontier × LL,sig,0.0,0.0,517.6880035400391,2674.3121662139893,,Lambari D'Oeste,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Lambari D'Oeste - MT,MT,6012.876708030701,2011.7503186742376,2010.0,0.0,0.0,0.0860965605445765,0.4447641779586502,,0.0,0.5552358220413498,0.4447641779586502,0.9096014981721512,pre_renovabio_1985_2015,25,300,0.0,25.867042541503903,2795.0094957351685,,0.0,0.0043019412832723,0.464837320213501,,8.70182486251204,0.9924159213599808,0.42443255836877114,-3.134432558368772,0.10941738497483375,0.026350325038833198,0.258,1,0.4989130434782609,False,NS
delta_neea,C2_extensive_vulnerable_frontier,ns,61,04165520000296,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Mirassol D'oeste - MT,Mirassol D'oeste,MT,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,4557407.19929998,8257542.15927619,64.29,64.29,50.22,64.29,t0_2022,-14.070000000000007,91.13,91.13,66.56,91.13,t0_2022,-24.57,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219561/2020-81,48610.219561/2020-81,48610.200576/2024-07,True,True,True,5105622,ns,1.1796729389023588,0.177,-3.3133775635908376,2,C2_extensive_vulnerable_frontier × ns,ns,0.0,0.0,0.0,2841.6763305664062,,Mirassol D'oeste,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Mirassol D'oeste - MT,MT,3574.128844261169,2013.975341201156,2015.0,0.0,0.0,0.0,0.7950682402312296,,0.0,0.2049317597687704,0.7950682402312296,1.0,pre_renovabio_1985_2015,25,300,0.0,0.0,732.4525136947632,,0.0,0.0,0.2049317597687704,,8.181756494831445,0.9947533071414382,-8.786888786455087,-5.28311121354492,-2.2652324241387602,-1.21791390053554,0.06,2,0.4989130434782609,False,NS
