term,coef,std_err_hc3,p_value,ci_low,ci_high
Intercept,-307.4206281895757,107.60672791584338,0.004278135300747702,-518.3259393988296,-96.51531698032187
C(uf_x)[T.MG],0.3195788479436596,0.890344855349083,0.7196412644627708,-1.425465002361067,2.064622698248386
C(uf_x)[T.MS],-1.7541706001866975,1.7219678432370469,0.3083448725315594,-5.129165555467424,1.6208243550940282
C(uf_x)[T.MT],-3.852520781125778,2.177022759265905,0.07678910448490982,-8.119406982810963,0.4143654205594074
C(uf_x)[T.PR],-1.1169887741251554,0.9419263830534209,0.23567928877741418,-2.9631305609979393,0.7291530127476287
C(uf_x)[T.SP],-0.8918231986125157,0.9695152984035131,0.3576433062499219,-2.792038265944005,1.0083918687189732
mean_first_key_year,0.15494871874612454,0.052364603553864804,0.0030860358900861875,0.052315981715831406,0.25758145577641767
neea_first,-0.35969242781439065,0.0568131245344582,2.4334023053156487e-10,-0.47104410575111766,-0.24834074987766364
_log_scale,1.3296350022907508,0.587588831459433,0.023643928448944758,0.17798205491228636,2.4812879496692153
share_cane_slope_le12,6.205574161826224,4.87928222866464,0.20343668513190305,-3.357643276762799,15.768791600415247
