schema,model,outcome,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2,aic,bic
10y_1985_2024,Delta NEEA frontier,delta_neea,Intercept,-12.831444142271687,7.120355843481429,0.07153296824273028,-26.787085152604604,1.1241968680612313,226,0.24680367398928504,0.23662534525941048,1276.5178619617964,1290.2000019588854
10y_1985_2024,Delta NEEA frontier,delta_neea,neea_first_c,-0.359696464613373,0.05850937532425305,7.862827990363791e-10,-0.47437273300684557,-0.24502019621990048,226,0.24680367398928504,0.23662534525941048,1276.5178619617964,1290.2000019588854
10y_1985_2024,Delta NEEA frontier,delta_neea,frontier_decade_c,1.423105549174991,0.44219224404437124,0.0012895464544715918,0.5564246766050772,2.289786421744905,226,0.24680367398928504,0.23662534525941048,1276.5178619617964,1290.2000019588854
10y_1985_2024,Delta NEEA frontier,delta_neea,log_cane_area,1.2918347932878977,0.6428489713286663,0.04447922612396073,0.03187396198509007,2.5517956245907056,226,0.24680367398928504,0.23662534525941048,1276.5178619617964,1290.2000019588854
10y_1985_2024,Delta NEEA share recent 2015+,delta_neea,Intercept,-15.234933881434465,7.776700702099297,0.05010710662144325,-30.476987176096436,0.007119413227508531,226,0.2572681242481458,0.24723120700825585,1273.3559397082436,1287.0380797053326
10y_1985_2024,Delta NEEA share recent 2015+,delta_neea,neea_first_c,-0.3643156135376652,0.057119539740768395,1.7926816540748332e-10,-0.47626785424307555,-0.2523633728322548,226,0.2572681242481458,0.24723120700825585,1273.3559397082436,1287.0380797053326
10y_1985_2024,Delta NEEA share recent 2015+,delta_neea,share_recent_ge_2015,4.183212033150065,1.276237402107553,0.001046307967729337,1.6818326892962983,6.684591377003832,226,0.2572681242481458,0.24723120700825585,1273.3559397082436,1287.0380797053326
10y_1985_2024,Delta NEEA share recent 2015+,delta_neea,log_cane_area,1.2919266567209797,0.651666758404838,0.04742376924163525,0.014683280325532566,2.5691700331164267,226,0.2572681242481458,0.24723120700825585,1273.3559397082436,1287.0380797053326
10y_1985_2024,Delta NEEA share old <=1995,delta_neea,Intercept,-9.469491111932895,6.645793186673794,0.15419044250721645,-22.49500640651521,3.556024182649418,226,0.2395374962686151,0.2292609759479206,1278.6876623774174,1292.3698023745064
10y_1985_2024,Delta NEEA share old <=1995,delta_neea,neea_first_c,-0.3583905229404021,0.05921954807511008,1.4315122852146477e-09,-0.47445870434835613,-0.24232234153244803,226,0.2395374962686151,0.2292609759479206,1278.6876623774174,1292.3698023745064
10y_1985_2024,Delta NEEA share old <=1995,delta_neea,share_old_le_1995,-3.6931525351879206,1.2520417205147796,0.003180784541342885,-6.147109214538453,-1.2391958558373886,226,0.2395374962686151,0.2292609759479206,1278.6876623774174,1292.3698023745064
10y_1985_2024,Delta NEEA share old <=1995,delta_neea,log_cane_area,1.073603300852644,0.6200239711944945,0.08335348711893122,-0.1416213522400651,2.2888279539453533,226,0.2395374962686151,0.2292609759479206,1278.6876623774174,1292.3698023745064
10y_1985_2024,NEEA ANCOVA frontier,neea_t2_2026,Intercept,46.412283927903616,7.1203558434814616,7.113074038103485e-11,32.45664291757063,60.3679249382366,226,0.48244416471650353,0.47545016694240216,1276.5178619617961,1290.2000019588852
10y_1985_2024,NEEA ANCOVA frontier,neea_t2_2026,neea_first_c,0.6403035353866253,0.05850937532425298,7.130635269692849e-28,0.525627266993153,0.7549798037800977,226,0.48244416471650353,0.47545016694240216,1276.5178619617961,1290.2000019588852
