schema,model,outcome,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2,aic,bic
10y_1985_2024,Delta NEEA frontier,delta_neea,frontier_decade_c,1.423105549174991,0.44219224404437124,0.0012895464544715918,0.5564246766050772,2.289786421744905,226,0.24680367398928504,0.23662534525941048,1276.5178619617964,1290.2000019588854
10y_1985_2024,Delta NEEA share recent 2015+,delta_neea,share_recent_ge_2015,4.183212033150065,1.276237402107553,0.001046307967729337,1.6818326892962983,6.684591377003832,226,0.2572681242481458,0.24723120700825585,1273.3559397082436,1287.0380797053326
10y_1985_2024,Delta NEEA share old <=1995,delta_neea,share_old_le_1995,-3.6931525351879206,1.2520417205147796,0.003180784541342885,-6.147109214538453,-1.2391958558373886,226,0.2395374962686151,0.2292609759479206,1278.6876623774174,1292.3698023745064
10y_1985_2024,NEEA ANCOVA frontier,neea_t2_2026,frontier_decade_c,1.4231055491749927,0.4421922440443726,0.0012895464544716187,0.5564246766050762,2.289786421744909,226,0.48244416471650353,0.47545016694240216,1276.5178619617961,1290.2000019588852
10y_1985_2024,Delta VOL frontier,delta_vol_pct,frontier_decade_c,-1.3247555359384637,0.7823898745280714,0.09041424289732164,-2.8582115118822955,0.20870044000536803,222,0.32393453475603695,0.3146308815646063,1556.5048201713246,1570.1155296988136
10y_1985_2024,Delta VOL share recent 2015+,delta_vol_pct,share_recent_ge_2015,-3.538626034654137,2.3752470199034805,0.13627871088876392,-8.194024648051052,1.1167725787427774,222,0.32409638858379575,0.3147949627386186,1556.4516657751856,1570.0623753026746
10y_1985_2024,Delta VOL share old <=1995,delta_vol_pct,share_old_le_1995,2.7021406248526105,2.1382093849551715,0.20632338036182385,-1.4886727610650654,6.8929540107702865,222,0.3197118019541815,0.3103500377608903,1557.8871288363493,1571.4978383638384
10y_1985_2024,VOL ANCOVA frontier,vol_pct_t2_2026,frontier_decade_c,-1.324755535938467,0.7823898745280718,0.09041424289732099,-2.8582115118823,0.20870044000536558,222,0.335289529513232,0.3261421377175425,1556.5048201713246,1570.1155296988136
5y_1985_2024,Delta NEEA frontier,delta_neea,frontier_decade_c,1.5757344529968589,0.4650540808609633,0.0007033186772320136,0.6642452036459928,2.487223702347725,226,0.25138459907810384,0.24126817474132145,1275.1391375020744,1288.8212774991634
5y_1985_2024,Delta NEEA share recent 2015+,delta_neea,share_recent_ge_2015,5.374790106161887,1.4220878987239036,0.00015713964709136073,2.5875490418127924,8.162031170510982,226,0.25827354663910274,0.2482502161882797,1273.0498004375813,1286.7319404346704
5y_1985_2024,Delta NEEA share old <=1995,delta_neea,share_old_le_1995,-3.6669306317192887,1.2689368010287303,0.003855284836872148,-6.154001060393069,-1.1798602030455085,226,0.23890174123939867,0.22861662963452556,1278.87652193335,1292.558661930439
5y_1985_2024,NEEA ANCOVA frontier,neea_t2_2026,frontier_decade_c,1.5757344529968564,0.465054080860964,0.0007033186772320411,0.6642452036459889,2.487223702347724,226,0.4855919290228854,0.47864046860427567,1275.1391375020744,1288.8212774991634
5y_1985_2024,Delta VOL frontier,delta_vol_pct,frontier_decade_c,-1.414600729156406,0.8615542676960875,0.10060717483069645,-3.103216064567518,0.274014606254706,222,0.32303050258468047,0.31371440858355215,1556.8014794261776,1570.4121889536666
5y_1985_2024,Delta VOL share recent 2015+,delta_vol_pct,share_recent_ge_2015,-5.399900916217925,3.370190861523114,0.10909951049177301,-12.005353625829246,1.2055517933933952,222,0.3267987259549763,0.3175344882387603,1555.562306163179,1569.173015690668
5y_1985_2024,Delta VOL share old <=1995,delta_vol_pct,share_old_le_1995,2.8823687462998873,2.1442003252872004,0.1788634183800606,-1.320186666902094,7.084924159501869,222,0.3191916828764172,0.3098227610811385,1558.05679563014,1571.667505157629
5y_1985_2024,VOL ANCOVA frontier,vol_pct_t2_2026,frontier_decade_c,-1.4146007291564024,0.8615542676960869,0.1006071748306971,-3.1032160645675133,0.2740146062547084,222,0.3344006811977204,0.32524105754447796,1556.8014794261776,1570.4121889536666
pre_renovabio_1985_2015,Delta NEEA frontier,delta_neea,frontier_decade_c,1.9614238385816278,0.5003151810301611,8.841076427801025e-05,0.9808241028438747,2.942023574319381,225,0.26409022576762964,0.2541005003255613,1266.0185962543987,1279.6829978632163
pre_renovabio_1985_2015,Delta NEEA share recent 2015+,delta_neea,share_recent_ge_2015,7.2540752045383545,1.5203590845671415,1.8304910145960341e-06,4.274226155218471,10.233924253858238,225,0.2797472199370048,0.2699700328773261,1261.179906445302,1274.8443080541197
pre_renovabio_1985_2015,Delta NEEA share old <=1995,delta_neea,share_old_le_1995,-4.325669553391003,1.2303518475840056,0.0004384330963265394,-6.737114862967967,-1.9142242438140378,225,0.248688405594221,0.23848960567016064,1270.679009972483,1284.3434115813006
pre_renovabio_1985_2015,NEEA ANCOVA frontier,neea_t2_2026,frontier_decade_c,1.9614238385816198,0.5003151810301618,8.841076427801815e-05,0.9808241028438655,2.942023574319374,225,0.49568201296317727,0.4888360674377905,1266.0185962543987,1279.6829978632163
pre_renovabio_1985_2015,Delta VOL frontier,delta_vol_pct,frontier_decade_c,-1.0343154004969108,0.9727231057228587,0.2876371063875628,-2.940817654643661,0.8721868536498396,221,0.3270233487931473,0.3177195241220848,1549.3933533378615,1562.9860041439326
pre_renovabio_1985_2015,Delta VOL share recent 2015+,delta_vol_pct,share_recent_ge_2015,-4.467667847177274,4.000464460502753,0.26408528628988903,-12.308434111195128,3.3730984168405804,221,0.3296512059657263,0.3203837111173261,1548.528697378249,1562.1213481843201
