outcome,model,term,coef,std_err_hc3,p_value,ci_low,ci_high,n,r2,r2_adj,aic,bic,buffer_km
delta_neea,M1 — fronteira,Intercept,1.3207093312965406,0.30757650046074997,1.7554460792143024e-05,0.7178704679026032,1.9235481946904778,225,0.021238744913042673,0.01684968098888595,1326.1841468418634,1333.0163476462722,25
delta_neea,M1 — fronteira,frontier_year_c,0.08504153377189333,0.035338974088137506,0.016108334551667526,0.01577841730854962,0.15430465023523704,225,0.021238744913042673,0.01684968098888595,1326.1841468418634,1333.0163476462722,25
delta_neea,M2 — + nível inicial,Intercept,1.3876021514618868,0.28100217256398213,7.89085161582221e-07,0.8368480136589725,1.9383562892648012,225,0.21335316837038187,0.20626625997732229,1279.019767712592,1289.2680689192052,25
delta_neea,M2 — + nível inicial,frontier_year_c,0.07697597162735267,0.03307805504572573,0.019959895695610807,0.012144175059096832,0.14180776819560853,225,0.21335316837038187,0.20626625997732229,1279.019767712592,1289.2680689192052,25
delta_neea,M2 — + nível inicial,neea_first_c,-0.3502270412758989,0.061027505624156646,9.532767895836395e-09,-0.4698387543655615,-0.23061532818623626,225,0.21335316837038187,0.20626625997732229,1279.019767712592,1289.2680689192052,25
delta_neea,M3 — + escala e UF,Intercept,-13.596089505862652,5.925613159969852,0.021764021056735965,-25.210077885720146,-1.9821011260051602,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,C(uf_x)[T.MG],0.1966644660648053,0.8840560820386563,0.8239581416767152,-1.5360536150445483,1.929382547174159,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,C(uf_x)[T.MS],-1.6626143541465648,1.729356436043231,0.33634786506716785,-5.052090685223843,1.7268619769307134,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,C(uf_x)[T.MT],-3.5521217406041643,2.1335688981157825,0.09593805025684964,-7.733839939445906,0.629596458237577,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,C(uf_x)[T.PR],-1.5619013608874925,0.8973460927299244,0.08175748025509466,-3.3206673843058843,0.19686466253089896,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,C(uf_x)[T.SP],-1.2573922145203784,0.9216537469944016,0.1724799903442905,-3.0638003648457968,0.5490159358050399,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,frontier_year_c,0.1679974585396078,0.049477852841044265,0.000685265960183831,0.07102264893878824,0.26497226814042735,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,neea_first_c,-0.3609871969127782,0.05746795570835489,3.352379814873931e-10,-0.4736223203662968,-0.2483520734592596,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M3 — + escala e UF,log_cane_area,1.4642575320463624,0.5624705369966975,0.009234166428887884,0.3618355371679314,2.5666795269247933,225,0.29241191637733044,0.26620495031723157,1267.188381194091,1297.9332848139309,25
delta_neea,M4 — + topografia,Intercept,-18.14383743000792,6.392658059861856,0.004536440220078726,-30.673216992816855,-5.614457867198986,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,C(uf_x)[T.MG],0.31957884794365504,0.8903448553488227,0.719641264462696,-1.4254650023605615,2.0646226982478715,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,C(uf_x)[T.MS],-1.7541706001866901,1.721967843236574,0.3083448725314286,-5.129165555466488,1.6208243550931083,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,C(uf_x)[T.MT],-3.852520781125745,2.177022759265212,0.07678910448481847,-8.119406982809574,0.4143654205580831,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,C(uf_x)[T.PR],-1.1169887741251636,0.9419263830531283,0.2356792887772653,-2.9631305609973744,0.7291530127470469,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,C(uf_x)[T.SP],-0.8918231986125066,0.9695152984032622,0.35764330624980245,-2.792038265943504,1.008391868718491,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,frontier_year_c,0.15494871874612665,0.05236460355384838,0.003086035890076482,0.0523159817158657,0.2575814557763876,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,neea_first_c,-0.35969242781439015,0.056813124534439374,2.433402305282703e-10,-0.47104410575108024,-0.24834074987770005,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,log_cane_area,1.3296350022907506,0.5875888314592504,0.02364392844890142,0.17798205491264385,2.4812879496688574,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M4 — + topografia,share_cane_slope_le12,6.205574161826173,4.87928222866309,0.20343668513176316,-3.357643276759812,15.768791600412158,225,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,25
delta_neea,M5 — + uso anterior,Intercept,-18.38248824374899,6.373244356519882,0.003922575717738976,-30.87381764720111,-5.891158840296871,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
delta_neea,M5 — + uso anterior,C(uf_x)[T.MG],0.7920892092683615,0.9676436191740057,0.4130287384949253,-1.1044574341826814,2.688635852719404,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
delta_neea,M5 — + uso anterior,C(uf_x)[T.MS],-1.3862421505945728,1.7300999838246192,0.42298708484315406,-4.777175808544157,2.0046915073550107,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
delta_neea,M5 — + uso anterior,C(uf_x)[T.MT],-3.4982907305835194,2.503436700460123,0.16229472553696567,-8.404936501061147,1.4083550398941092,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
delta_neea,M5 — + uso anterior,C(uf_x)[T.PR],-1.080618458958674,0.9703840817330547,0.26545138127222223,-2.9825363103264335,0.8212993924090852,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
delta_neea,M5 — + uso anterior,C(uf_x)[T.SP],-0.10226524342100846,1.1635119038938797,0.9299612477886111,-2.382706670636641,2.1781761837946245,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
delta_neea,M5 — + uso anterior,frontier_year_c,0.1509613556419313,0.07057891632136701,0.0324436400613891,0.012629221584185779,0.28929348969967683,225,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,25
