outcome,frontier_period_generation,n,frontier_mean,delta_neea_mean,delta_neea_median,delta_vol_mean,delta_vol_median,frontier_generation_label_ptbr,frontier_generation_label_en
delta_neea,frontier_until_2001,67,1993.9979145812224,0.3032835820895522,0.0,-0.42646153846153834,-0.5200000000000102,Até 2001,Until 2001
delta_neea,frontier_2002_2008,62,2004.8245344562615,1.300322580645161,1.0899999999999999,-0.9544262295081957,0.0,2002–2008,2002–2008
delta_neea,frontier_2009_2015,96,2011.3950516165944,2.035625,2.0199999999999996,-2.831473684210526,-1.6899999999999975,2009–2015,2009–2015
delta_vol_pct,frontier_until_2001,65,1994.0155150956741,0.3713846153846153,0.0,-0.42646153846153834,-0.5200000000000102,Até 2001,Until 2001
delta_vol_pct,frontier_2002_2008,61,2004.8768689951264,1.2308196721311473,0.9299999999999996,-0.9544262295081957,0.0,2002–2008,2002–2008
delta_vol_pct,frontier_2009_2015,95,2011.4045318802625,2.029894736842105,1.9600000000000009,-2.831473684210526,-1.6899999999999975,2009–2015,2009–2015
