variable,count,mean,std,min,25%,50%,75%,max
delta_neea,452.0,1.347079646017699,4.663393591543746,-16.659999999999997,-0.8475000000000055,1.0900000000000034,3.745000000000001,15.010000000000003
delta_vol_pct,448.0,-1.5766071428571422,9.594332177868235,-40.26,-3.765000000000004,-0.8099999999999952,1.4250000000000007,69.44
neea_first,452.0,59.22154867256637,6.141372243128392,28.74,55.5,60.1,63.5,71.6
vol_pct_first,452.0,92.5741371681416,10.586873703756023,16.01,90.7775,95.62,98.1175,100.0
mean_first_key_year,446.0,2004.4458170111427,7.91078239428846,1986.0401547989024,1999.0952230376322,2006.8282138014702,2010.8769611260652,2014.721793243025
cane_area_total_ha,452.0,74407.28328148885,45862.44166285056,0.0,36100.63517938502,71267.22413769703,106803.40615659975,171036.9946094027
share_cane_slope_le12,450.0,0.9300238613189289,0.07901737550111965,0.2165372198019379,0.9050542021152804,0.951442362712832,0.9815850701305736,1.0
