outcome,frontier_generation,n,frontier_mean,delta_neea_mean,delta_neea_median,delta_vol_mean,delta_vol_median
delta_neea,Até 1995,34,1989.8616354062542,0.45264705882352935,0.0,-0.29757575757575777,-0.2399999999999948
delta_neea,1996–2005,63,2000.3876054560926,1.0699999999999994,1.4300000000000068,-0.9636065573770486,-0.9399999999999976
delta_neea,2006–2015,128,2010.2436845380996,1.6684375,1.4099999999999966,-2.2545669291338575,-1.1800000000000068
delta_vol_pct,Até 1995,33,1989.9039846856238,0.42575757575757556,0.0,-0.29757575757575777,-0.2399999999999948
delta_vol_pct,1996–2005,61,2000.3999890100374,1.098852459016393,1.4300000000000068,-0.9636065573770486,-0.9399999999999976
delta_vol_pct,2006–2015,127,2010.2417101914064,1.661259842519685,1.3599999999999994,-2.2545669291338575,-1.1800000000000068
