outcome,overlay_cluster,overlay_lisa_class,cell_count,cnpj_clean,emissor_x,cidade_x,uf_x,rota,rota_tag,cohort,X,Y,neea_t0_2022,neea_t1_2023,neea_t2_2026,neea_first,neea_first_origin,delta_neea,vol_pct_t0_2022,vol_pct_t1_2023,vol_pct_t2_2026,vol_pct_first,vol_pct_first_origin,delta_vol_pct,status_t0_2022,status_t1_2023,status_t2_2026,motivo_t0_2022,motivo_t1_2023,motivo_t2_2026,processo_t0_2022,processo_t1_2023,processo_t2_2026,observable_t0_2022,observable_t1_2023,observable_t2_2026,cd_ibge,lisa_class,local_I,p_value,outcome_value,cluster,overlay_cell,lisa_sig,area_1985,area_1995,area_2005,area_2015,area_2024,cidade_y,emissor_y,uf_y,cane_area_total_ha,mean_first_key_year,dominant_first_key_year,share_1985,share_1995,share_2005,share_2015,share_2024,share_old_le_1995,share_mid_2000_2010,share_recent_ge_2015,share_recent_ge_2010,schema,buffer_km,scale_m,area_1990,area_2000,area_2010,area_2020,share_1990,share_2000,share_2010,share_2020
delta_neea,C1_developed_diversified,ns,72,02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,45.99,54.17,45.99,t0_2022,8.18,87.08,87.08,83.3,87.08,t0_2022,-3.780000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.211013/2020-11,48610.211013/2020-11,48610.209894/2024-25,True,True,True,5218805,ns,0.2764334108241019,0.284,1.4692445018503475,1,C1_developed_diversified × ns,ns,0.0,17.070579528808594,64.36835129681755,5673.3153502183795,818.5930505640366,Rio Verde,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,6573.347331608042,2015.9709272961804,2015.0,0.0,0.0025969386170611205,0.00979232467867647,0.8630785905589007,0.12453214614536179,0.0025969386170611205,0.00979232467867647,0.9876107367042625,0.9876107367042625,10y_1985_2024,25,300,,,,,,,,
delta_neea,C1_developed_diversified,ns,72,02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,45.99,54.17,45.99,t0_2022,8.18,87.08,87.08,83.3,87.08,t0_2022,-3.780000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.211013/2020-11,48610.211013/2020-11,48610.209894/2024-25,True,True,True,5218805,ns,0.2764334108241019,0.284,1.4692445018503475,1,C1_developed_diversified × ns,ns,0.0,0.0,64.36835129681755,4752.449861836901,162.10807132720947,Rio Verde,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,8953.60300879759,2014.7863418825846,2015.0,0.0,0.0,0.007189100436279204,0.5307863054869933,0.01810534498435167,0.001906559796322828,0.2539005673846483,0.7441928728190287,0.9909043397673979,5y_1985_2024,25,300,17.070579528808594,0.0,2208.9565327737846,1748.6496120340685,0.001906559796322828,0.0,0.24671146694836907,0.19530122234768374
delta_neea,C1_developed_diversified,ns,72,02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,45.99,54.17,45.99,t0_2022,8.18,87.08,87.08,83.3,87.08,t0_2022,-3.780000000000001,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.211013/2020-11,48610.211013/2020-11,48610.209894/2024-25,True,True,True,5218805,ns,0.2764334108241019,0.284,1.4692445018503475,1,C1_developed_diversified × ns,ns,0.0,0.0,64.36835129681755,4752.449861836901,,Rio Verde,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,7042.845325436312,2013.2797818061824,2015.0,0.0,0.0,0.009139537832009659,0.6747911734867585,,0.002423818604556824,0.3227850079086846,0.6747911734867585,0.9884366435634334,pre_renovabio_1985_2015,25,300,17.070579528808594,0.0,2208.9565327737846,,0.002423818604556824,0.0,0.3136454700766749,
delta_neea,C1_developed_diversified,ns,72,07280328001715,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,Mococa,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5709618.00659163,7622736.31428334,63.9,65.47,67.18,63.9,t0_2022,3.280000000000008,89.08,94.51,93.65,89.08,t0_2022,4.570000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219091/2019-11,48610.218001/2022-71,48610.223242/2024-01,True,True,True,3530508,ns,-0.2747819786808919,0.053,0.4159929009217289,1,C1_developed_diversified × ns,ns,17562.835792474183,14391.351411733438,19457.431728093765,15691.776258543423,3195.7152225606583,Mococa,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,SP,70299.11041340546,2001.0520997133444,2005.0,0.24983012856340633,0.2047159818538632,0.2767806251554414,0.22321443566305968,0.04545882876422945,0.4545461104172695,0.2767806251554414,0.2686732644272891,0.2686732644272891,10y_1985_2024,25,300,,,,,,,,
delta_neea,C1_developed_diversified,ns,72,07280328001715,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,Mococa,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5709618.00659163,7622736.31428334,63.9,65.47,67.18,63.9,t0_2022,3.280000000000008,89.08,94.51,93.65,89.08,t0_2022,4.570000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219091/2019-11,48610.218001/2022-71,48610.223242/2024-01,True,True,True,3530508,ns,-0.2747819786808919,0.053,0.4159929009217289,1,C1_developed_diversified × ns,ns,17562.835792474183,6476.243478056964,10481.49487062342,5932.546200512905,989.9627354453592,Mococa,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,SP,74829.99471526427,1999.1795218267073,1985.0,0.23470315425388652,0.08654609027703032,0.14007076855352688,0.07928032366014251,0.01322949091754273,0.4463104152240587,0.4310859749829582,0.12260360979298301,0.2800505012765559,5y_1985_2024,25,300,9358.326742052566,9994.91630152534,11781.750057650548,2251.918536922978,0.12506117069314182,0.13356831494585844,0.1574468914835729,0.03009379521529778
delta_neea,C1_developed_diversified,ns,72,07280328001715,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,Mococa,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5709618.00659163,7622736.31428334,63.9,65.47,67.18,63.9,t0_2022,3.280000000000008,89.08,94.51,93.65,89.08,t0_2022,4.570000000000007,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219091/2019-11,48610.218001/2022-71,48610.223242/2024-01,True,True,True,3530508,ns,-0.2747819786808919,0.053,0.4159929009217289,1,C1_developed_diversified × ns,ns,17562.835792474183,6476.243478056964,10481.49487062342,5932.546200512905,,Mococa,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,SP,71588.11344289593,1998.181348166627,1985.0,0.24533173103498002,0.09046534636260394,0.14641389982967284,0.08287054812870785,,0.46652166688571833,0.4506077849855737,0.08287054812870785,0.24744745190545786,pre_renovabio_1985_2015,25,300,9358.326742052566,9994.91630152534,11781.750057650548,,0.1307245894881344,0.13961698137915085,0.16457690377675002,
delta_neea,C1_developed_diversified,ns,72,07674341000191,USINA UBERABA S/A - Uberaba - MG,Uberaba,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5649070.45002857,7843049.67257957,55.1,56.63,58.66,55.1,t0_2022,3.559999999999995,100.0,99.18,96.24,100.0,t0_2022,-3.760000000000005,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219069/2019-71,48610.223730/2022-49,48610.224642/2025-15,True,True,True,3170107,ns,0.2704173213156419,0.055,0.4761787066890759,1,C1_developed_diversified × ns,ns,0.0,3745.111388023227,3334.283522605896,27185.296747043085,7239.537370737861,Uberaba,USINA UBERABA S/A - Uberaba - MG,MG,41504.22902841007,2013.9618111778352,2015.0,0.0,0.09023445262553029,0.08033599468438614,0.6550006441135064,0.1744289085765772,0.09023445262553029,0.08033599468438614,0.8294295526900837,0.8294295526900837,10y_1985_2024,25,300,,,,,,,,
delta_neea,C1_developed_diversified,ns,72,07674341000191,USINA UBERABA S/A - Uberaba - MG,Uberaba,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5649070.45002857,7843049.67257957,55.1,56.63,58.66,55.1,t0_2022,3.559999999999995,100.0,99.18,96.24,100.0,t0_2022,-3.760000000000005,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219069/2019-71,48610.223730/2022-49,48610.224642/2025-15,True,True,True,3170107,ns,0.2704173213156419,0.055,0.4761787066890759,1,C1_developed_diversified × ns,ns,0.0,3196.4992569044525,2481.6682510375977,17678.019374682855,1226.463380907096,Uberaba,USINA UBERABA S/A - Uberaba - MG,MG,46832.99784800212,2012.0328097531674,2015.0,0.0,0.06825314209606623,0.05298973725944099,0.37746930982418403,0.026188017792233145,0.08285128402140862,0.34166337511621747,0.5754853408623739,0.8282849265932055,5y_1985_2024,25,300,683.6747493743896,1680.0894060134888,11839.362454507866,8047.220974574369,0.01459814192534239,0.03587405212594481,0.25279958573083167,0.1718280132459567
delta_neea,C1_developed_diversified,ns,72,07674341000191,USINA UBERABA S/A - Uberaba - MG,Uberaba,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5649070.45002857,7843049.67257957,55.1,56.63,58.66,55.1,t0_2022,3.559999999999995,100.0,99.18,96.24,100.0,t0_2022,-3.760000000000005,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.219069/2019-71,48610.223730/2022-49,48610.224642/2025-15,True,True,True,3170107,ns,0.2704173213156419,0.055,0.4761787066890759,1,C1_developed_diversified × ns,ns,0.0,3196.4992569044525,2481.6682510375977,17678.019374682855,,Uberaba,USINA UBERABA S/A - Uberaba - MG,MG,37559.313492520654,2009.9350328305798,2015.0,0.0,0.08510536960535726,0.06607331232323463,0.4706693954404453,,0.10330790542940882,0.4260226991301458,0.4706693954404453,0.7858871498029016,pre_renovabio_1985_2015,25,300,683.6747493743896,1680.0894060134888,11839.362454507866,,0.01820253582405154,0.044731632444454876,0.3152177543624563,
delta_neea,C1_developed_diversified,ns,72,48295562001450,USINA ALTO ALEGRE S/A AÇÚCAR E ÁLCOOL - Colorado - PR,Colorado,PR,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5210409.50388839,7461546.41330971,61.1,65.08,65.08,61.1,t0_2022,3.979999999999997,98.14,95.01,95.01,98.14,t0_2022,-3.1299999999999955,valido,valido,valido,sem_motivo,sem_motivo,sem_motivo,48610.217841/2019-11,48610.217731/2022-54,48610.217731/2022-54,True,True,True,4105904,ns,0.245383033734562,0.138,0.566457415340101,1,C1_developed_diversified × ns,ns,239.2689266204834,16248.507961295632,26716.028684728284,33722.93369388206,5854.286058855992,Colorado,USINA ALTO ALEGRE S/A AÇÚCAR E ÁLCOOL - Colorado - PR,PR,82781.02532538245,2008.3967967031872,2015.0,0.002890383704236608,0.1962829996056293,0.32273130925495525,0.4073751631044594,0.07072014433071949,0.19917338330986592,0.32273130925495525,0.4780953074351789,0.4780953074351789,10y_1985_2024,25,300,,,,,,,,
