geocode,municipio,uf,cidade_uf_seeg,muni_key
3504305,Avaí,SP,Avaí (SP),AVAI|SP
3504602,Bady Bassitt,SP,Bady Bassitt (SP),BADY BASSITT|SP
3504701,Balbinos,SP,Balbinos (SP),BALBINOS|SP
3504909,Bananal,SP,Bananal (SP),BANANAL|SP
3505104,Barbosa,SP,Barbosa (SP),BARBOSA|SP
3505203,Bariri,SP,Bariri (SP),BARIRI|SP
3505302,Barra Bonita,SP,Barra Bonita (SP),BARRA BONITA|SP
3505351,Barra do Chapéu,SP,Barra do Chapéu (SP),BARRA DO CHAPEU|SP
3505401,Barra do Turvo,SP,Barra do Turvo (SP),BARRA DO TURVO|SP
3505500,Barretos,SP,Barretos (SP),BARRETOS|SP
3505609,Barrinha,SP,Barrinha (SP),BARRINHA|SP
3505708,Barueri,SP,Barueri (SP),BARUERI|SP
3505005,Barão de Antonina,SP,Barão de Antonina (SP),BARAO DE ANTONINA|SP
3505807,Bastos,SP,Bastos (SP),BASTOS|SP
3505906,Batatais,SP,Batatais (SP),BATATAIS|SP
3506003,Bauru,SP,Bauru (SP),BAURU|SP
3506102,Bebedouro,SP,Bebedouro (SP),BEBEDOURO|SP
3506201,Bento de Abreu,SP,Bento de Abreu (SP),BENTO DE ABREU|SP
3506300,Bernardino de Campos,SP,Bernardino de Campos (SP),BERNARDINO DE CAMPOS|SP
3506359,Bertioga,SP,Bertioga (SP),BERTIOGA|SP
3506409,Bilac,SP,Bilac (SP),BILAC|SP
3506508,Birigui,SP,Birigui (SP),BIRIGUI|SP
3506607,Biritiba Mirim,SP,Biritiba Mirim (SP),BIRITIBA MIRIM|SP
3506706,Boa Esperança do Sul,SP,Boa Esperança do Sul (SP),BOA ESPERANCA DO SUL|SP
3506805,Bocaina,SP,Bocaina (SP),BOCAINA|SP
3506904,Bofete,SP,Bofete (SP),BOFETE|SP
3507001,Boituva,SP,Boituva (SP),BOITUVA|SP
3507100,Bom Jesus dos Perdões,SP,Bom Jesus dos Perdões (SP),BOM JESUS DOS PERDOES|SP
3507159,Bom Sucesso de Itararé,SP,Bom Sucesso de Itararé (SP),BOM SUCESSO DE ITARARE|SP
3507308,Boracéia,SP,Boracéia (SP),BORACEIA|SP
3507407,Borborema,SP,Borborema (SP),BORBOREMA|SP
3507456,Borebi,SP,Borebi (SP),BOREBI|SP
3507209,Borá,SP,Borá (SP),BORA|SP
3507506,Botucatu,SP,Botucatu (SP),BOTUCATU|SP
3507605,Bragança Paulista,SP,Bragança Paulista (SP),BRAGANCA PAULISTA|SP
3507704,Braúna,SP,Braúna (SP),BRAUNA|SP
3507753,Brejo Alegre,SP,Brejo Alegre (SP),BREJO ALEGRE|SP
3507803,Brodowski,SP,Brodowski (SP),BRODOWSKI|SP
3507902,Brotas,SP,Brotas (SP),BROTAS|SP
3508009,Buri,SP,Buri (SP),BURI|SP
3508108,Buritama,SP,Buritama (SP),BURITAMA|SP
3508207,Buritizal,SP,Buritizal (SP),BURITIZAL|SP
3504800,Bálsamo,SP,Bálsamo (SP),BALSAMO|SP
3508405,Cabreúva,SP,Cabreúva (SP),CABREUVA|SP
3508306,Cabrália Paulista,SP,Cabrália Paulista (SP),CABRALIA PAULISTA|SP
3508603,Cachoeira Paulista,SP,Cachoeira Paulista (SP),CACHOEIRA PAULISTA|SP
3508702,Caconde,SP,Caconde (SP),CACONDE|SP
3508801,Cafelândia,SP,Cafelândia (SP),CAFELANDIA|SP
3508900,Caiabu,SP,Caiabu (SP),CAIABU|SP
3509007,Caieiras,SP,Caieiras (SP),CAIEIRAS|SP
3509106,Caiuá,SP,Caiuá (SP),CAIUA|SP
3509205,Cajamar,SP,Cajamar (SP),CAJAMAR|SP
3509254,Cajati,SP,Cajati (SP),CAJATI|SP
3509304,Cajobi,SP,Cajobi (SP),CAJOBI|SP
3509403,Cajuru,SP,Cajuru (SP),CAJURU|SP
3509452,Campina do Monte Alegre,SP,Campina do Monte Alegre (SP),CAMPINA DO MONTE ALEGRE|SP
3509502,Campinas,SP,Campinas (SP),CAMPINAS|SP
3509601,Campo Limpo Paulista,SP,Campo Limpo Paulista (SP),CAMPO LIMPO PAULISTA|SP
3509809,Campos Novos Paulista,SP,Campos Novos Paulista (SP),CAMPOS NOVOS PAULISTA|SP
3509700,Campos do Jordão,SP,Campos do Jordão (SP),CAMPOS DO JORDAO|SP
3509908,Cananéia,SP,Cananéia (SP),CANANEIA|SP
3509957,Canas,SP,Canas (SP),CANAS|SP
3510153,Canitar,SP,Canitar (SP),CANITAR|SP
3510302,Capela do Alto,SP,Capela do Alto (SP),CAPELA DO ALTO|SP
3510401,Capivari,SP,Capivari (SP),CAPIVARI|SP
3510203,Capão Bonito,SP,Capão Bonito (SP),CAPAO BONITO|SP
3510500,Caraguatatuba,SP,Caraguatatuba (SP),CARAGUATATUBA|SP
3510609,Carapicuíba,SP,Carapicuíba (SP),CARAPICUIBA|SP
3510708,Cardoso,SP,Cardoso (SP),CARDOSO|SP
3510807,Casa Branca,SP,Casa Branca (SP),CASA BRANCA|SP
3511003,Castilho,SP,Castilho (SP),CASTILHO|SP
3511102,Catanduva,SP,Catanduva (SP),CATANDUVA|SP
3511201,Catiguá,SP,Catiguá (SP),CATIGUA|SP
3508504,Caçapava,SP,Caçapava (SP),CACAPAVA|SP
3511300,Cedral,SP,Cedral (SP),CEDRAL|SP
3511409,Cerqueira César,SP,Cerqueira César (SP),CERQUEIRA CESAR|SP
3511508,Cerquilho,SP,Cerquilho (SP),CERQUILHO|SP
3511607,Cesário Lange,SP,Cesário Lange (SP),CESARIO LANGE|SP
3511706,Charqueada,SP,Charqueada (SP),CHARQUEADA|SP
3557204,Chavantes,SP,Chavantes (SP),CHAVANTES|SP
3511904,Clementina,SP,Clementina (SP),CLEMENTINA|SP
3512001,Colina,SP,Colina (SP),COLINA|SP
3512100,Colômbia,SP,Colômbia (SP),COLOMBIA|SP
3512209,Conchal,SP,Conchal (SP),CONCHAL|SP
3512308,Conchas,SP,Conchas (SP),CONCHAS|SP
3512407,Cordeirópolis,SP,Cordeirópolis (SP),CORDEIROPOLIS|SP
3512506,Coroados,SP,Coroados (SP),COROADOS|SP
3512605,Coronel Macedo,SP,Coronel Macedo (SP),CORONEL MACEDO|SP
3512704,Corumbataí,SP,Corumbataí (SP),CORUMBATAI|SP
3512902,Cosmorama,SP,Cosmorama (SP),COSMORAMA|SP
3512803,Cosmópolis,SP,Cosmópolis (SP),COSMOPOLIS|SP
3513009,Cotia,SP,Cotia (SP),COTIA|SP
3513108,Cravinhos,SP,Cravinhos (SP),CRAVINHOS|SP
3513207,Cristais Paulista,SP,Cristais Paulista (SP),CRISTAIS PAULISTA|SP
3513405,Cruzeiro,SP,Cruzeiro (SP),CRUZEIRO|SP
3513306,Cruzália,SP,Cruzália (SP),CRUZALIA|SP
3513504,Cubatão,SP,Cubatão (SP),CUBATAO|SP
3513603,Cunha,SP,Cunha (SP),CUNHA|SP
3510906,Cássia dos Coqueiros,SP,Cássia dos Coqueiros (SP),CASSIA DOS COQUEIROS|SP
3510005,Cândido Mota,SP,Cândido Mota (SP),CANDIDO MOTA|SP
3510104,Cândido Rodrigues,SP,Cândido Rodrigues (SP),CANDIDO RODRIGUES|SP
3513702,Descalvado,SP,Descalvado (SP),DESCALVADO|SP
3513801,Diadema,SP,Diadema (SP),DIADEMA|SP
3513850,Dirce Reis,SP,Dirce Reis (SP),DIRCE REIS|SP
3513900,Divinolândia,SP,Divinolândia (SP),DIVINOLANDIA|SP
3514007,Dobrada,SP,Dobrada (SP),DOBRADA|SP
3514106,Dois Córregos,SP,Dois Córregos (SP),DOIS CORREGOS|SP
3514205,Dolcinópolis,SP,Dolcinópolis (SP),DOLCINOPOLIS|SP
