frontier_period,n,frontier_mean,delta_neea_mean,delta_neea_median,delta_neea_sd
Até 1995,34,1989.8616354062542,0.45264705882352935,0.0,4.242147332763193
1996–2005,63,2000.3876054560926,1.0699999999999994,1.4300000000000068,3.40961354351619
2006–2015,128,2010.2436845380996,1.6684375,1.4099999999999966,5.203598760382579
