model,AIC,BIC,R2,R2_adj,n,delta_AIC,delta_BIC
Linear,1267.5326099056642,1301.6936139277084,0.2975999327361122,0.26819713922274013,225,0.04091834702512642,0.0
Categorias,1276.885614894004,1314.4627193182525,0.2742662875708306,0.24035349727040223,225,9.393923335364889,12.769105390544155
Spline cúbica,1267.491691558639,1311.9009967872967,0.3162074295205831,0.2775021896821256,225,0.0,10.207382859588279
