term,coef,std_err_hc3,p_value_hc3,ci_low_hc3,ci_high_hc3
Intercept,4.943085816500707,7.694083286981399,0.5212668602254216,-10.22280836784709,20.108980000848504
C(frontier_period)[T.1996–2005],0.8563550405913698,0.8424294977693441,0.31052484476235026,-0.804167226247203,2.516877307429943
C(frontier_period)[T.2006–2015],1.4673528774871176,1.0946471335863412,0.18151057815172122,-0.690318410690896,3.625024165665131
C(frontier_period)[T.Depois de 2015],1.242347105676379e-14,5.4003422812248415e-15,0.022383446746759534,1.7787955910206366e-15,2.3068146522506945e-14
C(uf_x)[T.MG],0.3054870354681942,0.9283612651229536,0.7424317600170585,-1.5244163053917554,2.135390376328144
C(uf_x)[T.MS],-1.5746381412156443,1.7290282968624882,0.3634744376346766,-4.982745281975138,1.8334689995438498
C(uf_x)[T.MT],-4.376067349718171,2.303312695664667,0.05879053855971251,-8.916152934055525,0.16401823461918408
C(uf_x)[T.PR],-1.3169484371432993,0.9950763399452347,0.18709304104878524,-3.278354613041121,0.6444577387545223
C(uf_x)[T.SP],-1.308783941413926,1.0387608758827067,0.20906064274923267,-3.3562971978837806,0.7387293150559286
neea_first,-0.36076399818647276,0.05909612618205184,4.780551214591437e-09,-0.4772490377880502,-0.2442789585848953
_log_scale,0.9094024192820894,0.5554504324116338,0.1030511847986396,-0.1854521811169655,2.0042570196811442
share_cane_slope_le12,8.409861070223693,4.753067991638367,0.0782590126783473,-0.9589647565212527,17.778686896968637
