cnpj_clean,buffer_km,prior_entry_area_total_ha,prior_pasture_area_ha,prior_pasture_share,prior_annual_agriculture_area_ha,prior_annual_agriculture_share,prior_perennial_agriculture_area_ha,prior_perennial_agriculture_share,prior_agricultural_mosaic_area_ha,prior_agricultural_mosaic_share,prior_forestry_area_ha,prior_forestry_share,prior_native_vegetation_area_ha,prior_native_vegetation_share,prior_other_uses_area_ha,prior_other_uses_share,prior_productive_share,source_method,origin_year_window
00297598000122,25,2516.837738484227,49.30889992806503,0.019591608618266136,2134.0904585529693,0.8479253254674382,0.0,0.0,233.40026935972344,0.09273552513571631,0.0,0.0,92.3837219090965,0.03670626854345202,7.654388734372753,0.0030412722351273354,0.9602524592214206,grid_intersection_approximation,1987-2015
00372496000124,25,88329.41983941021,7640.763078212628,0.08650303706402841,30412.52715897984,0.3443080144109651,131.74008778298293,0.0014914632975343515,48886.8459468431,0.5534605122021995,28.610093853739084,0.0003239022050156615,1193.723505731933,0.013514449748478092,35.209968005988905,0.00039862107177884084,0.9860869291797429,grid_intersection_approximation,1987-2015
00595322000120,25,21928.219796460067,1467.8185091380917,0.06693742231528733,17281.31465920521,0.7880856184228408,0.0,0.0,3129.6692241134897,0.1427233607271084,4.072289676187291,0.00018570999898699902,42.462473583565455,0.0019364304981300984,2.882640743523716,0.00013145803764649734,0.9979321114642234,grid_intersection_approximation,1987-2015
01105558000102,25,7040.848818497068,842.0881057965112,0.11960036744209804,3544.7968301714445,0.5034615742435602,46.10000195364914,0.006547506293920056,2584.6727748382345,0.3670967579999759,0.4550414290587249,6.4628774284044e-05,19.093665943571075,0.002711841488970756,3.642398364599198,0.0005173237571910684,0.9967708347538382,grid_intersection_approximation,1987-2015
02043917000107,25,11172.752409370938,278.2337264158567,0.024902881243702615,9869.009151099446,0.8833104672418945,0.0,0.0,1006.9965807938711,0.09012967833685023,2.738849414519553,0.00024513649941999914,13.405077370381004,0.0011998008081820328,2.3690242768640175,0.00021203586995063476,0.9985881633218675,grid_intersection_approximation,1987-2015
02414858000470,25,27576.496521702455,13372.426951829111,0.4849211697833019,2642.483445686289,0.09582375497216183,0.0,0.0,11308.25275133897,0.4100685067967019,0.5213702653157389,1.890632716543326e-05,234.0631945822288,0.008487778510878754,18.748808000537725,0.0006798836097900464,0.990832337879331,grid_intersection_approximation,1987-2015
02460988000105,25,31289.127079375405,10125.366549533797,0.32360655264838156,5170.092248528992,0.16523606540423172,0.0,0.0,15442.399642289147,0.4935388450791325,8.417944681801865,0.0002690373771197552,525.1862671811396,0.016784944682183934,17.664427160526923,0.0005645548089505711,0.9826505005088656,grid_intersection_approximation,1987-2015
02635522000195,25,27559.107431053955,9070.718274487625,0.3291368669025406,5051.96327695183,0.18331374808094159,0.0,0.0,12982.997359583787,0.4710964385208782,6.991387866217456,0.0002536870210222944,430.47794472284306,0.015620170058112079,15.959187441653453,0.0005790894165052108,0.9838007405253827,grid_intersection_approximation,1987-2015
02635522004930,25,36982.0175642577,14190.93314507325,0.38372522863080544,4995.414967965978,0.13507686429725607,0.0,0.0,17259.97429728627,0.4667126196480868,6.697167923275844,0.0001810925515796766,506.87038316569794,0.013705860754757115,22.127602843232435,0.0005983341175149479,0.985695805127728,grid_intersection_approximation,1987-2015
02678100000105,25,6561.021526176158,25.254372702907624,0.0038491525446383004,6412.792918574957,0.9774076937547269,0.0,0.0,118.58116180837258,0.01807358219071156,0.0,0.0,1.098116008923244,0.00016736967018659353,3.2949570809969533,0.0005022018397365774,0.9993304284900767,grid_intersection_approximation,1987-2015
02773950000184,25,43087.508835461675,1599.4736691245812,0.03712151647551715,34605.56697750202,0.803146153323701,0.0,0.0,6754.183302380541,0.15675501984050064,0.0,0.0,66.20110921167017,0.0015364338993111074,62.083777242865274,0.0014408764609702704,0.9970226896397189,grid_intersection_approximation,1987-2015
02783009000141,25,29268.3979663868,12202.685566179127,0.41692359042655025,2761.6990530907965,0.09435771155846866,0.0,0.0,13940.816572622822,0.4763095195245434,10.811093370050976,0.00036937769475688223,347.1869265620478,0.011862177320425037,5.198754561956689,0.00017762347525570693,0.9879601992043192,grid_intersection_approximation,1987-2015
02859452000230,25,68924.8362274906,3777.1347149827684,0.054800778960375135,51131.918260239116,0.741850413564642,0.0,0.0,13928.901578140798,0.20208827964665182,2.2085867353982382,3.204340925974295e-05,60.925989529102594,0.0008839482668919615,23.747097863403738,0.00034453615217923774,0.9987715155809287,grid_intersection_approximation,1987-2015
02896264000109,25,11626.659457447797,4620.583445055941,0.39741281336799555,1509.0469233083686,0.12979196035037427,0.0,0.0,5334.090008638495,0.4587809618197416,11.37967222377198,0.0009787568187939312,143.62230023219337,0.012352843115241662,7.937107989026577,0.000682664527853031,0.9869644923569053,grid_intersection_approximation,1987-2015
