cnpj_clean,emissor,cidade,uf,rota,rota_tag,cohort,X,Y,neea_first,neea_t2_2026,delta_neea,vol_pct_first,vol_pct_t2_2026,delta_vol_pct,cane_area_total_ha,mean_first_key_year,first_entry_year,last_entry_year,n_entry_years,schema,buffer_km,frontier_source_method,frontier_year_window,frontier_area_definition,cane_area_total_ha_approx_from_origin,outcome
00297598000122,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,SÃO JOSÉ DO RIO CLARO,MT,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,4726601.98423902,8470976.23214683,47.19,39.17,-8.019999999999996,67.56,66.16,-1.4000000000000057,91902.91324273191,2005.834348706489,1989,2015,27,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,91902.91324273191,delta_neea
00372496000124,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,Patrocínio Paulista,SP,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5683831.09458151,7690204.52935748,55.7,55.51,-0.1900000000000048,94.63,90.31,-4.319999999999993,2445167.341376323,2001.455290225439,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,2445167.341376323,delta_neea
00595322000120,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,Jandaia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5409973.4560416,8087852.68291427,64.3,68.08,3.780000000000001,87.16,85.61,-1.5499999999999972,719662.5457482979,2009.1774460768913,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,719662.5457482979,delta_neea
01105558000102,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,João Pinheiro,MG,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5846982.93235041,7966338.47292695,68.5,68.5,0.0,92.11,92.11,0.0,62686.339765785495,2011.2134582258634,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,62686.339765785495,delta_neea
02043917000107,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,Rio Verde,GO,Etanol combustível de primeira geração – cana-de-açúcar e milho em usina integrada,cana_milho_integrada,2022,5310460.5809602,8057054.40652174,45.99,54.17,8.18,87.08,83.3,-3.780000000000001,678882.4441519864,2010.4492784811387,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,678882.4441519864,delta_neea
02414858000470,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,Itapaci,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5479817.78534701,8338262.39698919,62.3,60.63,-1.6699999999999946,98.44,78.35,-20.090000000000003,213971.035105947,2006.5684080763192,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,213971.035105947,delta_neea
02460988000105,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2023,5526539.61558435,8311157.15201518,62.1,63.03,0.9299999999999996,97.98,99.91,1.9299999999999928,221413.6718702728,2006.440666357843,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,221413.6718702728,delta_neea
02635522000195,JALLES MACHADO S.A. - Matriz - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5538381.62495406,8311260.58537639,70.1,67.67,-2.4299999999999926,100.0,95.23,-4.769999999999996,212675.61804967374,2006.5331421783308,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,212675.61804967374,delta_neea
02635522004930,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,Goianésia,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5504657.33191542,8326472.95099455,61.7,68.98,7.280000000000001,100.0,82.41,-17.590000000000003,217984.06823981134,2006.5023274589287,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,217984.06823981134,delta_neea
02678100000105,LASA LAGO AZUL S.A. - Ipameri - GO,Ipameri,GO,Etanol combustível de primeira geração – cana-de-açúcar,cana_pura,2022,5670837.07069855,8080207.95905736,51.23,50.63,-0.5999999999999943,100.0,100.0,0.0,33662.5999858918,2011.2991748020597,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,33662.5999858918,delta_neea
