cnpj_clean,cane_area_total_ha,mean_first_key_year,first_entry_year,last_entry_year,n_entry_years,schema,buffer_km,frontier_source_method,frontier_year_window,frontier_area_definition,cane_area_total_ha_approx_from_origin
00297598000122,91902.91324273191,2005.834348706489,1989,2015,27,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,91902.91324273191
00372496000124,2445167.341376323,2001.455290225439,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,2445167.341376323
00595322000120,719662.5457482979,2009.1774460768913,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,719662.5457482979
01105558000102,62686.339765785495,2011.2134582258634,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,62686.339765785495
02043917000107,678882.4441519864,2010.4492784811387,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,678882.4441519864
02414858000470,213971.035105947,2006.5684080763192,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,213971.035105947
02460988000105,221413.6718702728,2006.440666357843,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,221413.6718702728
02635522000195,212675.61804967374,2006.5331421783308,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,212675.61804967374
02635522004930,217984.06823981134,2006.5023274589287,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,217984.06823981134
02678100000105,33662.5999858918,2011.2991748020597,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,33662.5999858918
02773950000184,1126323.739605179,2009.4062043604604,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,1126323.739605179
02783009000141,283546.7184001589,2007.4046628991518,1987,2015,29,pre_renovabio_1985_2015,150,approx_from_previous_land_use_grid,1987-2015,persistent new sugarcane entries weighted by grid-cell overlap,283546.7184001589
