contrast,origin_code,origin_label,difference_pp,difference_pp_ci_low,difference_pp_ci_high,ratio_of_shares,ratio_ci_low,ratio_ci_high,conclusive
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,1,Pastagem,7.737117054005642,5.181523488680134,10.466949533666769,1.3994052394831566,1.2614330626955166,1.5588364930818097,True
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,2,Agricultura anual,4.55961384593208,0.6667084704579676,8.687752388507999,1.1959086578416698,1.0252302776970645,1.3779418250998414,True
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,3,Agricultura perene,-0.09646718389700973,-0.2950694077840724,0.08149174520308661,0.8326052395596485,0.5293509624781588,1.1799140136994721,False
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,4,Mosaico agropecuário,-11.273537891438485,-14.594212216117409,-7.7987375966041546,0.7946387166191019,0.7453076696765387,0.8479700149593018,True
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,5,Silvicultura,-0.012161497181385901,-0.04330051839869687,0.01857498119979618,0.8388201232059853,0.4520670966826975,1.430993159815006,False
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,6,Vegetação nativa,-0.7267330894637339,-0.9499746685833603,-0.5147993809261471,0.36964529576856103,0.2639889833354428,0.4967233803815554,True
post_law_pre_zae_2002_2008_vs_pre_law_1987_2001,7,Outros usos,-0.1878312379571054,-0.23096804360771842,-0.1461820055704992,0.1330340492879705,0.0890630080347745,0.1917216452361548,True
post_zae_2020_2023_vs_zae_2009_2019,1,Pastagem,-3.574465173931512,-5.886145771145467,-1.2354276399938269,0.8667508845277293,0.7914599917348862,0.948707286179193,True
post_zae_2020_2023_vs_zae_2009_2019,2,Agricultura anual,-8.826183560364395,-12.013480028976907,-5.943367459141908,0.6906312224086423,0.6093353575439457,0.7726863497813161,True
post_zae_2020_2023_vs_zae_2009_2019,3,Agricultura perene,0.14330263534607063,-0.13509861412516572,0.5163829302324136,1.235604472897399,0.7782071492285976,1.8500563623574569,False
post_zae_2020_2023_vs_zae_2009_2019,4,Mosaico agropecuário,11.370446578384236,8.972896302110188,13.706153438935806,1.2599955630721167,1.1988486683013853,1.323252650924986,True
post_zae_2020_2023_vs_zae_2009_2019,5,Silvicultura,0.4374567482129837,0.22922056682616945,0.6860315949132813,6.252322862611747,3.013149345319301,10.950287527419029,True
post_zae_2020_2023_vs_zae_2009_2019,6,Vegetação nativa,0.40126905412977887,0.2885858822465103,0.5289936974528469,2.1466555489490706,1.778703727515242,2.5587805610470484,True
post_zae_2020_2023_vs_zae_2009_2019,7,Outros usos,0.048173718222838245,-0.008398438148514155,0.11114206443714932,2.090377987594594,0.9093184045165985,4.2663019476902315,False
zae_2009_2019_vs_post_law_pre_zae_2002_2008,1,Pastagem,-0.6769823345874088,-3.499283244141768,2.3857578888482958,0.9778432462933352,0.8818219685851995,1.0987159504917345,False
zae_2009_2019_vs_post_law_pre_zae_2002_2008,2,Agricultura anual,0.10331159423573483,-4.0173483611414955,3.8489103039450674,1.0069988287578884,0.8698070694831835,1.1477434161199227,False
zae_2009_2019_vs_post_law_pre_zae_2002_2008,3,Agricultura perene,0.19188768167370227,0.0033714801582127884,0.4260018253931231,1.4574790632598402,1.0067806770392327,2.07454309720912,True
zae_2009_2019_vs_post_law_pre_zae_2002_2008,4,Mosaico agropecuário,0.3829487686051999,-2.4418059959044993,3.1400769989956423,1.009540249717693,0.9464583062588314,1.075229331089779,False
zae_2009_2019_vs_post_law_pre_zae_2002_2008,5,Silvicultura,0.04312062793988,-0.011427344135509101,0.12382653322997667,1.9634774322861983,0.8159924361715813,4.1093829922561955,False
zae_2009_2019_vs_post_law_pre_zae_2002_2008,6,Vegetação nativa,-0.0717949373332472,-0.2048320605837656,0.039007945948580584,0.8504193361724214,0.6428546566346035,1.1253775165646147,False
zae_2009_2019_vs_post_law_pre_zae_2002_2008,7,Outros usos,0.02750859946613836,0.0008329467886441426,0.06811219338965883,1.953789272805117,1.0345612066878118,3.19647531522537,True
