buffer_km,outcome,model,n,coef_frontier_year,std_err_frontier_year,p_value_frontier_year,ci_low_frontier_year,ci_high_frontier_year,effect_per_decade,ci_low_per_decade,ci_high_per_decade,r2,r2_adj,aic,bic,frontier_source_method,topography_source_method,topography_included,prior_use_included
25,delta_neea,M3 — + escala e UF,225,0.16799745853960862,0.049477852841044175,0.0006852659601837735,0.07102264893878925,0.264972268140428,1.6799745853960864,0.7102264893878925,2.6497226814042802,0.2924119163773303,0.26620495031723146,1267.188381194091,1297.9332848139309,exact_or_legacy_cache,exact_dem_cache,False,False
25,delta_neea,M4 — + topografia,225,0.15494871874612684,0.05236460355384853,0.003086035890076532,0.0523159817158656,0.2575814557763881,1.5494871874612683,0.523159817158656,2.5758145577638807,0.2975999327361125,0.26819713922274047,1267.5326099056638,1301.693613927708,exact_or_legacy_cache,exact_dem_cache,True,False
25,delta_neea,M5 — + uso anterior,225,0.15096135564193083,0.07057891632136609,0.03244364006138739,0.012629221584187084,0.2892934896996746,1.5096135564193083,0.12629221584187084,2.892934896996746,0.30904135436944946,0.26993048763564476,1269.8373981764678,1314.2467034051253,exact_or_legacy_cache,exact_dem_cache,True,True
25,delta_vol_pct,M3 — + escala e UF,221,-0.1123087703557574,0.09400682800214699,0.23220919783930494,-0.29655876754081695,0.07194122682930215,-1.123087703557574,-2.9655876754081696,0.7194122682930215,0.33860359475833146,0.3136452398435515,1555.5573966713891,1586.140860985049,exact_or_legacy_cache,exact_dem_cache,False,False
25,delta_vol_pct,M4 — + topografia,221,-0.13540486190690237,0.08940406945724863,0.12989227428455893,-0.31063361811442713,0.03982389430062239,-1.3540486190690237,-3.1063361811442713,0.39823894300622387,0.3419950045913537,0.3139284408061507,1556.4212705108496,1590.4028975260271,exact_or_legacy_cache,exact_dem_cache,True,False
25,delta_vol_pct,M5 — + uso anterior,221,0.053606690462946006,0.16378755905021503,0.7434455064735954,-0.2674110263912028,0.37462440731709484,0.53606690462946,-2.674110263912028,3.7462440731709483,0.35839498459578434,0.32137931063015646,1556.843307959265,1601.019423078996,exact_or_legacy_cache,exact_dem_cache,True,True
30,delta_neea,M3 — + escala e UF,227,0.25259309087751325,0.08363176135883568,0.002525236055335727,0.08867785065054673,0.41650833110447977,2.5259309087751323,0.8867785065054673,4.165083311044798,0.30312942109224683,0.2775561888387513,1275.4443245493612,1306.2688747066939,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
30,delta_neea,M5b — + uso anterior sem topografia,227,0.2602342881947151,0.10466881067001607,0.012909218710437344,0.055087188976841894,0.46538138741258833,2.602342881947151,0.5508718897684189,4.653813874125883,0.3070329901318689,0.2715788640455925,1280.1691935424085,1321.2685937521853,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
30,delta_vol_pct,M3 — + escala e UF,223,-0.11953991258759096,0.1835100394524823,0.5147831308948372,-0.4792129807159807,0.24013315554079878,-1.1953991258759096,-4.792129807159807,2.401331555407988,0.331183627715808,0.30618114650892236,1570.1011078582706,1600.7656538014116,approx_from_previous_land_use_grid,not_available_for_buffer,False,False
30,delta_vol_pct,M5b — + uso anterior sem topografia,223,0.257424520576126,0.2520089045185643,0.30702244841724324,-0.23650385606365326,0.7513528972159054,2.5742452057612604,-2.3650385606365325,7.513528972159054,0.35458784256460396,0.32094076326702403,1568.1577530687177,1609.043814326239,approx_from_previous_land_use_grid,not_available_for_buffer,False,True
