period,period_label,all_persistent_entry_ha,entry_from_productive_land_ha,productive_origin_share
pre_law_1986_2001,"Pré-Lei, 1986–2001",4489737.379070522,3040244.400118368,0.6771541726005738
post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",3167711.9792206082,3142278.8198081255,0.9919711262957877
zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",4814770.594262393,4769268.646371601,0.9905495086422155
post_zae_2020_2023,"Pós-revogação, 2020–2023",596540.3412279513,582929.8944162005,0.9771843647929419
