schema,model,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2,aic,bic
10y_1985_2024,M0_frontier,Intercept,-11.413000784780467,7.458786996141678,0.12598166596761048,-26.03195466557385,3.2059530960129177,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,C(uf)[T.MG],-0.04120750971341236,0.9085259443999117,0.9638231947335696,-1.821885639757479,1.7394706203306542,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,C(uf)[T.MS],-1.8128701513401175,1.7164430592435083,0.29088669925332744,-5.177036728971144,1.551296426290909,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,C(uf)[T.MT],-4.493262426962389,2.288054220506412,0.049554225665215515,-8.977766293829823,-0.008758560094953793,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,C(uf)[T.PR],-1.6220872322410473,0.9191868106083495,0.07761451552377541,-3.423660276097652,0.17948581161555732,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,C(uf)[T.SP],-1.4484289812776467,1.006439058629674,0.1501045916775131,-3.421013288826204,0.5241553262709104,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,neea_first_c,-0.3697710187516297,0.058188773750159004,2.088613699816636e-10,-0.48381891960649104,-0.2557231178967684,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,frontier_decade_c,1.2224682897762489,0.42701052732764433,0.004198455442988877,0.3855430351946094,2.0593935443578886,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M0_frontier,log_cane_area,1.2676183145673252,0.7074183930234804,0.07315005131658446,-0.11889625775989754,2.6541328868945477,226,0.2846295742187699,0.25825647096416227,1274.8731142445474,1305.657929237998
10y_1985_2024,M1_frontier_plus_slope,Intercept,-12.288948868665782,7.54628307606597,0.10342376979938121,-27.07939191489922,2.5014941775676522,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,C(uf)[T.MG],-0.09860743166537898,0.896065447069018,0.9123737668265571,-1.8548634357114364,1.6576485723806786,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,C(uf)[T.MS],-1.8097296648663774,1.7271080431358665,0.2947131908489873,-5.194799226822126,1.5753398970893713,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,C(uf)[T.MT],-4.3965380886129015,2.240599929248147,0.04973749472994589,-8.788033253702263,-0.005042923523540743,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,C(uf)[T.PR],-1.7324850407617005,1.0140646222439835,0.08755171781658522,-3.7200151783561233,0.25504509683272225,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,C(uf)[T.SP],-1.5822535609646182,1.0580298425164865,0.1347914114610849,-3.655953946865517,0.49144682493628067,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,neea_first_c,-0.3698611069376507,0.058780882592859275,3.129965546800116e-10,-0.48506951979913226,-0.2546526940761691,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,frontier_decade_c,1.2547376337006888,0.44749909342139504,0.005049033737113806,0.3776555274804295,2.131819739920948,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,share_slope_le12_c,-1.253944902052606,7.1719719732702325,0.8612056503297433,-15.310751667792925,12.802861863687713,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M1_frontier_plus_slope,log_cane_area,1.3548686755777852,0.7167035900545027,0.058702206906911684,-0.0498445485195993,2.7595818996751698,226,0.28490835973201234,0.2551128747208461,1276.7850230909464,1310.9903730836693
10y_1985_2024,M2_frontier_x_slope,Intercept,-14.07044554090229,7.305375060595602,0.05409936308036439,-28.388717553226783,0.24782647142220604,226,0.2917966379905703,0.2588569467343177,1276.5974751287908,1314.223360120786
