schema,first_key_year,buffer_area_ha_sum,share_slope_le12_weighted,mean_slope_pct_weighted,n_buffers_with_cohort
10y_1985_2024,1985,3801240.285331474,0.9366084167369548,5.813732503538285,162
10y_1985_2024,1995,2995300.8557128594,0.9120906291808977,6.487832545600898,221
10y_1985_2024,2005,2926788.968071631,0.9178823811616197,6.379071714973841,224
10y_1985_2024,2015,5936236.043554412,0.9375523695229666,5.867281942139993,227
10y_1985_2024,2024,1307545.1813102418,0.9301722675454159,6.016710950370864,226
5y_1985_2024,1985,3801240.285331809,0.9366084167369448,5.813732503538477,162
5y_1985_2024,1990,1786513.163128495,0.9067937931700271,6.58653348364151,219
5y_1985_2024,1995,1438461.1448026318,0.916016947269302,6.395290901799347,221
5y_1985_2024,2000,1230540.5506543575,0.9110705100781508,6.517201959822134,223
5y_1985_2024,2005,1809497.1207440735,0.920727825277237,6.311150040681895,224
5y_1985_2024,2010,3639797.2096145116,0.9299897188010512,6.032816472318235,226
5y_1985_2024,2015,2667114.326014284,0.9433005909449202,5.7033590663892575,227
5y_1985_2024,2020,1193506.0525529592,0.9378619206022555,5.79999298690897,227
5y_1985_2024,2024,282217.3625379243,0.9184887289076639,6.3218862627871975,226
pre_renovabio_1985_2015,1985,3801240.2853317647,0.9366084167369401,5.813732503538546,162
pre_renovabio_1985_2015,1990,1786513.1631287185,0.9067937931699595,6.5865334836419205,219
pre_renovabio_1985_2015,1995,1438461.1448025107,0.9160169472692793,6.39529090179946,221
pre_renovabio_1985_2015,2000,1230540.5506550875,0.911070510078125,6.517201959822846,223
pre_renovabio_1985_2015,2005,1809497.1207451837,0.9207278252771292,6.311150040684611,224
pre_renovabio_1985_2015,2010,3639797.2096151523,0.9299897188010819,6.03281647231863,226
pre_renovabio_1985_2015,2015,2667114.326014931,0.9433005909449226,5.703359066389733,227
