cidade,cnpj_clean,dem_area_1985,dem_area_1995,dem_area_2005,dem_area_2015,dem_area_2024,dem_area_le12_1985,dem_area_le12_1995,dem_area_le12_2005,dem_area_le12_2015,dem_area_le12_2024,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1995,dem_slope_x_area_2005,dem_slope_x_area_2015,dem_slope_x_area_2024,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2015,mean_slope_pct_2015,share_slope_le12_2024,mean_slope_pct_2024,dem_area_1990,dem_area_2000,dem_area_2010,dem_area_2020,dem_area_le12_1990,dem_area_le12_2000,dem_area_le12_2010,dem_area_le12_2020,dem_slope_x_area_1990,dem_slope_x_area_2000,dem_slope_x_area_2010,dem_slope_x_area_2020,share_slope_le12_1990,mean_slope_pct_1990,share_slope_le12_2000,mean_slope_pct_2000,share_slope_le12_2010,mean_slope_pct_2010,share_slope_le12_2020,mean_slope_pct_2020
Goianésia,02460988000105,115.4557077512145,5865.224855827613,12620.237550277365,14719.57193283027,3037.3100410814086,104.83380387723446,5196.168621132595,11508.229466071345,14011.522498488781,2779.6369674794523,33600.39135704941,36357.80008776788,23921502.04832327,758.499052375555,39879.74943700142,74424.17154942622,77482.63032992231,18362.0873756175,210907.13774434305,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,GO,10y_1985_2024,0.9241590876218564,5.800877314777361,657.946905219146,0.9080001839591312,6.56961069443166,0.8859282890015286,6.799355594590274,0.911886913397951,5.897208452133339,0.9518974167474077,5.263918725591907,0.9151640530216619,6.04550971987036,,,,,,,,,,,,,,,,,,,,
Goianésia,02635522000195,115.4557077512145,6031.041390053314,14992.920329168439,20142.041401891147,3895.9051155588786,104.83380387723446,5427.261536493284,13981.677966572344,19315.40717916524,3638.290694954319,42467.471181062414,45177.363944422985,29315690.32846161,758.499052375555,38782.88478279879,81774.44484458864,101653.48615423343,21710.70344000365,244680.01827400006,JALLES MACHADO S.A. - Matriz - Goianésia - GO,GO,10y_1985_2024,0.9400165807218351,5.415987054379809,648.9021883730458,0.9080001839591312,6.56961069443166,0.8998879605509237,6.4305452863847705,0.9325520085217326,5.454203920866439,0.9589597595282325,5.046831357654201,0.9338755916883761,5.572698203890725,,,,,,,,,,,,,,,,,,,,
Goianésia,02635522004930,11.243043563734084,2719.4148563742347,4492.564048403181,26902.643152265424,11644.544862799143,8.927887596628246,2397.4619059302354,3911.883749467602,26015.79052792104,11144.79200896016,43478.856079875666,45770.40996340571,26772217.782055333,106.79926252061244,19306.515081956575,32329.851705676607,140982.36712389684,63728.39047022357,256453.92364427412,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,GO,10y_1985_2024,0.9499337260609597,5.603050613907845,584.9241421140911,0.7940810285060463,9.49914157275949,0.8816094757703664,7.099510777733168,0.8707463504850924,7.19630290349846,0.9670347400690366,5.240465270492389,0.9570826631931708,5.472810764276139,,,,,,,,,,,,,,,,,,,,
Ipameri,02678100000105,0.0,0.0,23.932385087013245,3793.859366647899,2813.9990577325225,0.0,0.0,23.932385087013245,3778.7316141352057,2758.093359552324,6560.757358774543,6631.790809467435,6032324.935569763,0.0,0.0,95.20066699385643,15761.715858146548,13108.885052651167,28965.80157779157,LASA LAGO AZUL S.A. - Ipameri - GO,GO,10y_1985_2024,0.98928894883242,4.367719430540612,909.6072401677864,,,,,1.0,3.9779013519850333,0.9960125689830038,4.1545335066209805,0.9801330074981451,4.658453959545426,,,,,,,,,,,,,,,,,,,,
GOIATUBA,02773950000184,0.0,1430.4134124591947,14069.093076728781,42710.647820912425,5535.977405268246,0.0,1404.0320601910353,13800.568951890546,41822.25084581752,5291.1852603599145,62318.03711825901,63746.13171536863,40672984.47221605,0.0,7152.833385914564,70508.51363402786,210330.71750248407,31356.14777276382,319348.21229519026,GOIASA GOIATUBA ÁLCOOL LTDA. - GOIATUBA - GO,GO,10y_1985_2024,0.9775971567422134,5.009687704990548,638.046315560355,,,0.981556833822745,5.000535735761365,0.980913899469299,5.011589108800029,0.9791996370830058,4.9245499245155395,0.955781585258029,5.664067151524882,,,,,,,,,,,,,,,,,,,,
Anicuns,02783009000141,0.77254968136549,2737.709604242824,5981.720749796576,7249.995862913073,1336.2178641776536,0.0,2567.4051387084173,5463.684978025362,6467.556907924133,1236.1764337266777,15734.82345838459,17306.41663081149,13189734.641282177,11.656102776527405,17007.23576528734,39032.20364727548,50849.66228762556,8353.661332007892,115254.41913497278,ANICUNS S.A. ÁLCOOL E DERIVADOS - Anicuns - GO,GO,10y_1985_2024,0.9091901457157275,6.659635070253624,762.129730414546,0.0,15.087835847560141,0.9377930861365013,6.2122132087822655,0.913396864641528,6.525246710756745,0.8920773239345611,7.013750524706367,0.9251308988354648,6.251721037384104,,,,,,,,,,,,,,,,,,,,
Turvelândia,02859452000230,5.533811837434769,1278.2434127639613,17318.571851877838,37661.87622115139,7828.665454629355,5.533811837434769,1275.093256690689,17279.143709419637,37528.549003756685,7772.2182845133475,63860.5380662178,64092.89075225998,32425839.488474783,26.568206444382668,5092.560074769692,68428.41997372292,145881.2983266932,33948.30531940665,253377.15190103685,Vale do Verdão Sociedade Anônima Açúcar e Álcool - Turvelândia - GO,GO,10y_1985_2024,0.9963747510322121,3.9532801364885,505.9194414215342,1.0,4.801067912113636,0.9975355585314846,3.9840299773248877,0.9977233606330002,3.951158361034446,0.9964598891300103,3.8734474477605665,0.9927896816586245,4.336410275308402,,,,,,,,,,,,,,,,,,,,
INHUMAS,02896264000109,0.0,2497.9284097892105,2502.493254369497,3972.8712442124593,1005.2683588574038,0.0,2316.450223927609,2219.4632799113206,3532.859929338653,842.461350516449,8911.23478369403,9978.561267228572,8048237.877121913,0.0,15553.788168646135,17430.37606266509,27263.329245000496,7754.289044254492,68001.78252056621,CENTROALCOOL S/A (EM RECUPERACAO JUDICIAL) - INHUMAS - GO,GO,10y_1985_2024,0.8930380387561644,6.814788294570737,806.5529349961307,,,0.9273485240207842,6.226674914978309,0.8869008042423331,6.965204014928172,0.8892460168411449,6.862374229901552,0.8380462222783949,7.713650763929425,,,,,,,,,,,,,,,,,,,,
Astorga,03345641000338,340.87466612128065,7967.314647203831,11834.197250072422,22527.10060358658,5544.442292489929,312.30090965745495,7421.622298156427,10689.382260061537,20804.887602375125,4947.229730924116,44175.422801174675,48213.92945947405,25706393.477055345,2362.833709025558,52621.96939876326,85804.003064208,152926.0529108102,39785.107514109106,333499.96659691597,COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA - Astorga - PR,PR,10y_1985_2024,0.9162377615022248,6.9170874545132754,533.1735821006398,0.9161751831282781,6.931678836422768,0.9315086232675752,6.6047309198753945,0.903262133812762,7.2505131739022595,0.9235492826388294,6.788536865079857,0.892286269734514,7.175673479007784,,,,,,,,,,,,,,,,,,,,
Rubiataba,03347747000109,0.0,4156.626134420171,6082.908408311974,12723.24729858032,3469.5390923581576,0.0,3918.797333920732,5669.265125989359,11690.212662354053,3239.4708736774674,24517.745995941612,26432.320933670628,16826327.115990322,0.0,25799.563342712267,38715.497058790745,83692.82659875003,22174.554345277713,170382.44134553074,COOPERATIVA AGROINDUSTRIAL DE RUBIATABA – Rubiataba - GO,GO,10y_1985_2024,0.9275669002909939,6.445988673226582,636.5815229852261,,,0.9427832109965273,6.206852025750249,0.9319990940916695,6.364635871532778,0.9188073129458441,6.577945443856036,0.9336891118513616,6.3912104043209474,,,,,,,,,,,,,,,,,,,,
