cidade,cnpj_clean,dem_area_1985,dem_area_1995,dem_area_2005,dem_area_2015,dem_area_2024,dem_area_le12_1985,dem_area_le12_1995,dem_area_le12_2005,dem_area_le12_2015,dem_area_le12_2024,dem_cane_area_le12_total_ha,dem_cane_area_total_ha,dem_elevation_x_area_total,dem_slope_x_area_1985,dem_slope_x_area_1995,dem_slope_x_area_2005,dem_slope_x_area_2015,dem_slope_x_area_2024,dem_slope_x_area_total,emissor,uf,schema,share_cane_slope_le12,mean_cane_slope_pct,mean_cane_elevation_m,share_slope_le12_1985,mean_slope_pct_1985,share_slope_le12_1995,mean_slope_pct_1995,share_slope_le12_2005,mean_slope_pct_2005,share_slope_le12_2015,mean_slope_pct_2015,share_slope_le12_2024,mean_slope_pct_2024
SÃO JOSÉ DO RIO CLARO,00297598000122,0.0,9.471218600869179,1013.2059514969587,557.4926394894719,1295.286773711443,0.0,9.384375378489494,1011.7297633513808,557.31890450418,1294.0706064924598,2872.50364972651,2875.4565832987428,1307823.6284484863,0.0,39.4632073789835,3781.3925450593233,2025.1716896146536,4729.550965815783,10575.578407868743,DESTILARIA DE ÁLCOOL LIBRA LTDA. - SÃO JOSÉ DO RIO CLARO - MT,MT,10y_1985_2024,0.9989730557611671,3.677877965292166,454.8229439611787,,,0.9908308290580776,4.166645184956658,0.998543052235928,3.732106527278599,0.9996883636249421,3.632642919679119,0.999061082654694,3.651354326937184
Patrocínio Paulista,00372496000124,9343.211661378396,23653.376107204167,30179.66738361409,22798.807519034337,4376.550888863265,8462.744289875118,19669.330675145666,24274.108830547946,17988.28949487674,3119.1312452397215,73513.60453568518,90351.61356009425,72138766.96021546,63757.95617551142,186802.29217161876,252194.80228682843,196292.9454997935,42481.91317644622,741529.9093101984,Central Energética Vale do Sapucaí Ltda. - Patrocínio Paulista - SP,SP,10y_1985_2024,0.8136390888779219,8.20715734995696,798.4225640003082,0.9057639489060463,6.82398713485907,0.8315654638897375,7.8974896152234235,0.8043199589312724,8.356447375021649,0.7890013317520498,8.609790022390946,0.7126916433616206,9.706710662167161
Jandaia,00595322000120,0.0,1305.5408998727798,5098.228296041489,17102.075051691136,4069.2724640457363,0.0,1285.0274689868093,5054.467848792672,17013.443509254357,4034.917130791995,27387.85595782583,27575.116711651135,14678155.608499715,0.0,6219.968971863389,21984.123209401965,65337.78217212885,16663.326503247252,110205.20085664146,DENUSA DESTILARIA NOVA UNIÃO S/A - Jandaia - GO,GO,10y_1985_2024,0.9932090675885994,3.9965452189755255,532.2971344776884,,,0.9842874084695703,4.764285035014607,0.99141653831336,4.312110390676601,0.9948174977498994,3.820459328744902,0.9915573770109302,4.094915405757889
João Pinheiro,01105558000102,0.0,27.490457952022552,550.0074942037463,12100.007475413557,7572.6839137852185,0.0,20.256091326475143,546.8612712398171,11931.199211955245,7326.868080913173,19825.18465543471,20250.189341354544,18556657.949526694,0.0,252.9584763199091,1515.304373189807,49011.09602676993,41092.600949977954,91871.95982625759,WD AGROINDUSTRIAL LTDA - João Pinheiro - MG,MG,10y_1985_2024,0.9790123105144554,4.536844484640865,916.3696021167884,,,0.7368408107943085,9.201682880706548,0.9942796725552185,2.7550613203617065,0.9860489124654411,4.050501301454346,0.9675391399310137,5.426424952872191
Rio Verde,02043917000107,0.0,17.75192702561617,121.53579738630968,5255.128996586916,956.10830480731,0.0,17.581131599843502,119.91441973193604,5180.120876869676,932.7289903250979,6250.345418526553,6350.5250258061515,5363331.453195789,0.0,87.25028368830681,590.4991237334762,23267.754436268347,4855.701571897198,28801.20541558733,USINA RIO VERDE LTDA. - EM RECUPERAÇÃO JUDICIAL - Rio Verde - GO,GO,10y_1985_2024,0.9842249881903454,4.5352479202192,844.5492981133406,,,0.9903787670191406,4.914975346755536,0.9866592585127821,4.858643596639557,0.9857266834427935,4.427627647462167,0.975547420344891,5.078610391189725
Itapaci,02414858000470,0.0,2841.234026382016,5194.950520436231,20502.453512800173,9861.439485250445,0.0,2737.2918658749145,4987.14578761359,19718.399764494738,9503.655487104696,36946.492905087944,38400.07754486887,22153575.413925495,0.0,15669.824337103553,29649.53672782229,113026.35076596592,53881.41178939308,212227.1236202848,Vale Verde Empreendimentos Agrícolas Ltda. Em Recuperação Judicial - Itapaci - GO,GO,10y_1985_2024,0.9621463097806905,5.526736850265637,576.9148613838078,,,0.9634165438179481,5.51514735907104,0.9599987079751452,5.707376155207838,0.9617580526244855,5.512820731206675,0.9637188872191652,5.463848545639044
Goianésia,02460988000105,115.4557077512145,5865.224855827613,12620.237550277365,14719.57193283027,3037.3100410814086,104.83380387723446,5196.168621132595,11508.229466071345,14011.522498488781,2779.6369674794523,33600.39135704941,36357.80008776788,23921502.04832327,758.499052375555,39879.74943700142,74424.17154942622,77482.63032992231,18362.0873756175,210907.13774434305,USINA GOIANÉSIA S/A - EM RECUPERAÇÃO JUDICIAL - Goianésia - GO,GO,10y_1985_2024,0.9241590876218564,5.800877314777361,657.946905219146,0.9080001839591312,6.56961069443166,0.8859282890015286,6.799355594590274,0.911886913397951,5.897208452133339,0.9518974167474077,5.263918725591907,0.9151640530216619,6.04550971987036
Goianésia,02635522000195,115.4557077512145,6031.041390053314,14992.920329168439,20142.041401891147,3895.9051155588786,104.83380387723446,5427.261536493284,13981.677966572344,19315.40717916524,3638.290694954319,42467.471181062414,45177.363944422985,29315690.32846161,758.499052375555,38782.88478279879,81774.44484458864,101653.48615423343,21710.70344000365,244680.01827400006,JALLES MACHADO S.A. - Matriz - Goianésia - GO,GO,10y_1985_2024,0.9400165807218351,5.415987054379809,648.9021883730458,0.9080001839591312,6.56961069443166,0.8998879605509237,6.4305452863847705,0.9325520085217326,5.454203920866439,0.9589597595282325,5.046831357654201,0.9338755916883761,5.572698203890725
Goianésia,02635522004930,11.243043563734084,2719.4148563742347,4492.564048403181,26902.643152265424,11644.544862799143,8.927887596628246,2397.4619059302354,3911.883749467602,26015.79052792104,11144.79200896016,43478.856079875666,45770.40996340571,26772217.782055333,106.79926252061244,19306.515081956575,32329.851705676607,140982.36712389684,63728.39047022357,256453.92364427412,JALLES MACHADO S.A. - Unidade Otavio Lage - Goianésia - GO,GO,10y_1985_2024,0.9499337260609597,5.603050613907845,584.9241421140911,0.7940810285060463,9.49914157275949,0.8816094757703664,7.099510777733168,0.8707463504850924,7.19630290349846,0.9670347400690366,5.240465270492389,0.9570826631931708,5.472810764276139
Ipameri,02678100000105,0.0,0.0,23.932385087013245,3793.859366647899,2813.9990577325225,0.0,0.0,23.932385087013245,3778.7316141352057,2758.093359552324,6560.757358774543,6631.790809467435,6032324.935569763,0.0,0.0,95.20066699385643,15761.715858146548,13108.885052651167,28965.80157779157,LASA LAGO AZUL S.A. - Ipameri - GO,GO,10y_1985_2024,0.98928894883242,4.367719430540612,909.6072401677864,,,,,1.0,3.9779013519850333,0.9960125689830038,4.1545335066209805,0.9801330074981451,4.658453959545426
GOIATUBA,02773950000184,0.0,1430.4134124591947,14069.093076728781,42710.647820912425,5535.977405268246,0.0,1404.0320601910353,13800.568951890546,41822.25084581752,5291.1852603599145,62318.03711825901,63746.13171536863,40672984.47221605,0.0,7152.833385914564,70508.51363402786,210330.71750248407,31356.14777276382,319348.21229519026,GOIASA GOIATUBA ÁLCOOL LTDA. - GOIATUBA - GO,GO,10y_1985_2024,0.9775971567422134,5.009687704990548,638.046315560355,,,0.981556833822745,5.000535735761365,0.980913899469299,5.011589108800029,0.9791996370830058,4.9245499245155395,0.955781585258029,5.664067151524882
Anicuns,02783009000141,0.77254968136549,2737.709604242824,5981.720749796576,7249.995862913073,1336.2178641776536,0.0,2567.4051387084173,5463.684978025362,6467.556907924133,1236.1764337266777,15734.82345838459,17306.41663081149,13189734.641282177,11.656102776527405,17007.23576528734,39032.20364727548,50849.66228762556,8353.661332007892,115254.41913497278,ANICUNS S.A. ÁLCOOL E DERIVADOS - Anicuns - GO,GO,10y_1985_2024,0.9091901457157275,6.659635070253624,762.129730414546,0.0,15.087835847560141,0.9377930861365013,6.2122132087822655,0.913396864641528,6.525246710756745,0.8920773239345611,7.013750524706367,0.9251308988354648,6.251721037384104
Turvelândia,02859452000230,5.533811837434769,1278.2434127639613,17318.571851877838,37661.87622115139,7828.665454629355,5.533811837434769,1275.093256690689,17279.143709419637,37528.549003756685,7772.2182845133475,63860.5380662178,64092.89075225998,32425839.488474783,26.568206444382668,5092.560074769692,68428.41997372292,145881.2983266932,33948.30531940665,253377.15190103685,Vale do Verdão Sociedade Anônima Açúcar e Álcool - Turvelândia - GO,GO,10y_1985_2024,0.9963747510322121,3.9532801364885,505.9194414215342,1.0,4.801067912113636,0.9975355585314846,3.9840299773248877,0.9977233606330002,3.951158361034446,0.9964598891300103,3.8734474477605665,0.9927896816586245,4.336410275308402
INHUMAS,02896264000109,0.0,2497.9284097892105,2502.493254369497,3972.8712442124593,1005.2683588574038,0.0,2316.450223927609,2219.4632799113206,3532.859929338653,842.461350516449,8911.23478369403,9978.561267228572,8048237.877121913,0.0,15553.788168646135,17430.37606266509,27263.329245000496,7754.289044254492,68001.78252056621,CENTROALCOOL S/A (EM RECUPERACAO JUDICIAL) - INHUMAS - GO,GO,10y_1985_2024,0.8930380387561644,6.814788294570737,806.5529349961307,,,0.9273485240207842,6.226674914978309,0.8869008042423331,6.965204014928172,0.8892460168411449,6.862374229901552,0.8380462222783949,7.713650763929425
Astorga,03345641000338,340.87466612128065,7967.314647203831,11834.197250072422,22527.10060358658,5544.442292489929,312.30090965745495,7421.622298156427,10689.382260061537,20804.887602375125,4947.229730924116,44175.422801174675,48213.92945947405,25706393.477055345,2362.833709025558,52621.96939876326,85804.003064208,152926.0529108102,39785.107514109106,333499.96659691597,COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA - Astorga - PR,PR,10y_1985_2024,0.9162377615022248,6.9170874545132754,533.1735821006398,0.9161751831282781,6.931678836422768,0.9315086232675752,6.6047309198753945,0.903262133812762,7.2505131739022595,0.9235492826388294,6.788536865079857,0.892286269734514,7.175673479007784
Rubiataba,03347747000109,0.0,4156.626134420171,6082.908408311974,12723.24729858032,3469.5390923581576,0.0,3918.797333920732,5669.265125989359,11690.212662354053,3239.4708736774674,24517.745995941612,26432.320933670628,16826327.115990322,0.0,25799.563342712267,38715.497058790745,83692.82659875003,22174.554345277713,170382.44134553074,COOPERATIVA AGROINDUSTRIAL DE RUBIATABA – Rubiataba - GO,GO,10y_1985_2024,0.9275669002909939,6.445988673226582,636.5815229852261,,,0.9427832109965273,6.206852025750249,0.9319990940916695,6.364635871532778,0.9188073129458441,6.577945443856036,0.9336891118513616,6.3912104043209474
Sandovalina,03445208000455,0.0,5191.9275033043305,4878.436066757348,61015.96545994363,6938.464419301058,0.0,5035.451296589159,4667.871812211708,58036.95917506261,6489.520442537934,74229.80272640142,78024.79344930637,28060370.295599677,0.0,29132.927198842986,29692.040321845863,374572.4297534083,43846.15847776555,477243.55575186264,UMOE BIOENERGY S.A. - Sandovalina - SP,SP,10y_1985_2024,0.9513617331730511,6.1165628853850595,359.63402215003407,,,0.969861634890783,5.611196839767454,0.9568377546278678,6.086385045439755,0.9511766098852159,6.138924901537637,0.9352963495043262,6.31928850939937
Capinópolis,03937452000435,0.0,251.35429143116755,7696.011628597304,21374.86134205881,10242.653797920339,0.0,246.34865376309438,7553.240083634182,21073.86219393675,10033.66370966937,38907.1146410034,39564.881060007625,20235427.725541584,0.0,1326.4040287570626,37760.64020152296,98926.32920109354,52000.781465597654,190014.1548969712,CRV industrial Ltda. - Capinópolis - MG,MG,10y_1985_2024,0.9833749931408463,4.802596388670517,511.4492242463899,,,0.9800853303933187,5.277029571306498,0.981448631855934,4.906520678998158,0.9859180771605853,4.628162382809872,0.9795960995681215,5.07688558956819
Lambari D'Oeste,04165520000105,0.0,0.0,650.9677462652326,3998.3344617709517,4500.6481333673,0.0,0.0,648.9828786253929,3969.6082052513957,4466.665290609002,9085.25637448579,9149.950341403484,1823472.361702919,0.0,0.0,2328.777217745781,14452.212275281549,17464.93255019188,34245.92204321921,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Lambari D'Oeste - MT,MT,10y_1985_2024,0.9929295827295419,3.7427440330748643,199.28767847533715,,,,,0.9969508971047685,3.5774079915734194,0.9928154443320801,3.6145581150007997,0.9924493446829684,3.8805372098984656
Mirassol D'oeste,04165520000296,0.0,0.0,0.0,3289.5879258951427,3949.93477202838,0.0,0.0,0.0,3274.341059057999,3917.130464047895,7191.4715231058935,7239.522697923522,1626156.8296541327,0.0,0.0,0.0,11316.20027404445,15300.099372764604,26616.299646809053,AGROPECUÁRIA NOVO MILÊNIO LTDA. - Mirassol D'oeste - MT,MT,10y_1985_2024,0.9933626598295754,3.676526859214528,224.62210528334356,,,,,,,0.9953651134486715,3.440005413737392,0.9916949747593834,3.873506843989644
Monte Aprazível,04171382000177,2812.075371961471,7799.648250740708,27560.385419279894,51998.73429817314,6854.2134649764375,2507.3556000696385,7079.424366421589,24554.071699605767,45589.14642412143,5885.939282063877,85615.93737228228,97025.05680513165,46738094.32433251,19650.689056155905,53103.88070460499,191312.61081614267,374215.29136040196,51139.96641683129,689422.4383541369,CENTRAL ENERGETICA MORENO DE MONTE APRAZÍVEL AÇÚCAR E ÁLCOOL LTDA EM RECUPERAÇÃO JUDICIAL - Monte Aprazível - SP,SP,10y_1985_2024,0.8824105874448099,7.105612313516041,481.71158939079885,0.8916388319708213,6.987966699644047,0.9076594403791579,6.808496870299488,0.8909190247546009,6.941579658835604,0.8767356944248371,7.196623079603481,0.8587329986350389,7.461099173252418
Onda Verde,04248044000277,7518.987477980816,18578.657524697075,31712.65748024059,37784.64472352588,7139.355591156202,7268.287179861203,17725.584955752656,30249.6139996994,35927.182318523795,6676.0072979836195,97846.67575182066,102734.30279760057,52587127.03997955,40568.34513541278,107661.14423371325,183280.3549011908,222827.46521695677,44331.86314463568,598669.1726319094,Onda Verde Agrocomercial S. A. - Onda Verde - SP,SP,10y_1985_2024,0.9524245854336585,5.82735421693923,511.8750564120999,0.9666577050628449,5.395453211515016,0.9540831963875533,5.794882869798132,0.9538656297898472,5.779407008554501,0.9508408132829267,5.897302114322053,0.93509942357451,6.209504846565045
Pontal,04969941000199,127546.86528976914,27409.230526484436,6031.893989628349,1889.663381584573,951.5770642946165,126200.2701897363,26808.402710799117,5907.255123709493,1798.7087047914079,891.0971379584544,161605.73386699482,163829.23025176104,88748349.04031819,554870.8426968739,130646.73812877483,28333.38999606091,10184.680860664681,5429.4280789895965,729465.0797613639,Usina Bela Vista S.A. - Pontal - SP,SP,10y_1985_2024,0.9864279629383028,4.452594196044101,541.7125436281186,0.9894423504883985,4.350329123622778,0.9780793621657944,4.766523379871469,0.979336694886686,4.697262591945296,0.9518672597037388,5.389679960948568,0.9364424295146346,5.705715577554734
Guaraci,05242560000176,925.5616854741,8784.810864684425,27785.55680469147,46269.980763090025,5839.42306391886,906.1676372005367,8410.641688507036,26717.581523127454,44815.04864462356,5522.082416911451,86371.52191037001,89605.33318185888,44629045.53187815,4632.353651969982,51026.15104982198,155592.91994617917,245834.08999616952,34234.24483474907,491319.75947888964,USINA VERTENTE LTDA. - Guaraci - SP,SP,10y_1985_2024,0.9639105044682366,5.483153089579273,498.0623802971759,0.9790461850593684,5.004910774366328,0.9574072587400172,5.808451864905914,0.96156365376908,5.5997769287066435,0.9685555927521138,5.313036356225883,0.945655479396891,5.862607394603524
Ouroeste,05553456000100,4.543879896402359,1499.2600978240957,7825.27951699396,48605.86136190643,11059.071676460433,4.375696122646332,1426.322215005814,7582.397093893587,46128.6031702699,10513.473183485867,65655.17135877782,68994.01653308129,29398365.97466484,27.055248469114304,8452.99409776967,40554.05281942166,285207.5772071701,63929.47485190436,398171.1542247349,Usina Ouroeste Açúcar e Álcool Ltda. - Ouroeste - SP,SP,10y_1985_2024,0.9516067429890452,5.771096889739991,426.1002250908076,0.9629867475394348,5.954217339797084,0.9513507476627052,5.638110498663746,0.968961821418275,5.182441436290098,0.9490337559663531,5.867760990461411,0.9506650730787929,5.780727055778123
Rio Brilhante,05620523000235,0.0,1565.5971495789931,292.7850662263877,65458.76197723707,10053.332034328754,0.0,1558.5293715131925,292.0373869928367,64933.08233384704,9916.791388867121,76700.44048122017,77370.47622737117,25378961.6947611,0.0,6368.84203614423,1036.7337306790491,284034.7730292952,46123.25645885357,337563.6052549722,Usina Eldorado em Recuperacao Judicial - Rio Brilhante/MS,MS,10y_1985_2024,0.9913399040716521,4.362951111519114,328.0186827360234,,,0.9954855704306174,4.067995421336124,0.9974463204589372,3.540937876515274,0.9919693005563895,4.3391406199840254,0.9864183690546187,4.587857667622846
Serranópolis​,05643160000172,0.0,72.70083810876982,55.54997098445892,12494.223346196964,7420.4512847302885,0.0,63.01529649387972,50.11104144155979,11458.47648524864,6794.417191332433,18366.02001451651,20042.92544002048,14366075.883160595,0.0,534.9953827993543,374.21404768526554,81134.90818639491,48339.47836695133,130383.59598383086,ENERGÉTICA SERRANÓPOLIS LTDA. - Serranópolis​ - GO,GO,10y_1985_2024,0.9163342980782822,6.505217832297521,716.7654206044841,,,0.8667753788422731,7.358861282987306,0.9020894260337099,6.736530029690897,0.9171019412532282,6.493793646732835,0.9156339595293751,6.514358293332334
Planalto,05928246000141,1641.4231178295963,9356.413673937966,23377.0494276909,62529.39506285956,7655.155553130892,1430.237550497055,8703.34117198949,21356.71497396725,56397.04116505359,6809.278229333664,94696.61309084103,104559.43683544891,45831683.4195312,11864.552974708817,57100.25634546566,148716.9396512421,418584.02709675446,52544.71799697824,688810.4940651493,COPLASA - ACUCAR E ALCOOL LTDA EM RECUPERACAO JUDICIAL - Planalto - SP,SP,10y_1985_2024,0.9056725624858752,6.587741048655123,438.33139127995787,0.8713399579678239,7.2282112063810535,0.9302005528285274,6.10279305034544,0.9135761568211215,6.361664251566405,0.9019284627391447,6.694196012546743,0.8895022683828715,6.863964766266298
Suzanápolis,05938884000143,1.091908022761345,1446.753060283176,5261.777130036757,28111.643747029055,9278.44037368315,0.5039446130394936,1369.5340519258204,4834.012744104774,26244.81300426117,8623.757618511014,41072.62136341581,44099.7062190549,16215465.426509978,14.250822484493256,8697.620468722782,34808.005846412976,176492.8161412849,58769.25036083788,278781.94363974297,VALE DO PARANÁ S.A. AÇÚCAR E ÁLCOOL – Suzanápolis/SP,SP,10y_1985_2024,0.9313581627822473,6.321628136363525,367.70007822645067,0.46152661445334875,13.051303028669125,0.9466259927300646,6.011821027024736,0.918703438902781,6.615256592247536,0.9335922595075865,6.2782816163120065,0.9294404308477272,6.3339578629537465
SANTA JULIANA,05980986000127,180.06530697643757,1416.4820384192117,1750.3551549561178,42188.18362989461,9951.244745256387,171.37579971551895,1363.2474652784713,1648.9610876311276,38298.54025383974,8801.54727072742,50283.67187719228,55486.33087550276,57271806.10261267,1116.777875304222,7358.046790996896,9802.426517558799,253403.06883691542,64097.89270936876,335778.21273014403,AGROINDUSTRIAL SANTA JULIANA LTDA. - SANTA JULIANA - MG,MG,10y_1985_2024,0.906235303069797,6.051548326083141,1032.178650109629,0.951742468292042,6.20207131543867,0.9624177563168045,5.194592371399532,0.9420722891363541,5.600250034859097,0.9078025399202382,6.006493928725427,0.8844669683079587,6.441193473803696
Jaíba,06044698000808,72.3620758280158,0.08636525273323059,104.40486118942499,6721.574529118836,1717.038921840489,72.3620758280158,0.08636525273323059,104.40486118942499,6720.883775539696,1716.9525429680943,8614.689620777965,8615.466753229499,4138279.6994400024,169.14103980362415,0.2796121835708618,233.41795313358307,17179.303553581238,4396.766616925597,21978.908775627613,Sada Bio-Energia e Agricultura Ltda. - Jaíba - MG,MG,10y_1985_2024,0.9999097979861343,2.5510990182149844,480.3314571307205,1.0,2.337426585240929,1.0,3.2375541635308154,1.0,2.235700047625997,0.999897233367547,2.5558451340765473,0.9999496931191857,2.5606679970962545
Itapagipe,06059962000100,241.85429747402668,650.0798527982305,4073.5221502880254,46849.546298170186,7585.409357264521,240.08685315400362,642.1381378989886,3963.9146113917814,46011.17516634736,7382.518052534117,58239.83282132625,59400.411955994976,27710844.690431643,1148.4636043906212,3328.071947424494,21797.880555515425,235777.93687095994,39992.74203797351,302045.095016264,USINA ITAPAGIPE ACUCAR E ALCOOL LTDA. - Itapagipe - MG,MG,10y_1985_2024,0.980461766232724,5.084898994303694,466.5093015004744,0.9926921111657614,4.748576380016392,0.9877834778834366,5.1194817576625455,0.9730926861687755,5.3511137907950665,0.9821050319999456,5.03266211737399,0.9732524251263914,5.272324821820275
São João da Boa Vista,06252818003799,6208.7699519028265,16114.413947559164,12329.227705053665,11757.30238675922,1717.6320310823182,5545.183346596244,13747.808339815167,9774.39728839701,9739.350653823565,1383.4398570166206,40190.1794856486,48127.346022357175,33997218.51184776,42608.77670630262,122212.9444227414,104432.24793891012,92693.1005832688,14248.600797873502,376195.67044909653,Abengoa Bioenergia Agroindustrial Ltda. - Em Recuperação Judicial - Unidade São João - São João da Boa Vista - SP,SP,10y_1985_2024,0.8350799037823231,7.816671841292429,706.401273322959,0.8931210834920352,6.862676027035619,0.8531373455190119,7.584076269882151,0.7927826074937809,8.4702992301865,0.8283660939767764,7.883874849358085,0.8054343607838311,8.295490850211463
Sebastianópolis do Sul,06315338002324,473.9456122432853,3975.501182609943,13192.993810742244,54510.4899299971,7450.09112768255,447.1880900030042,3751.6737712839076,12391.738094281916,50226.17519876813,6726.978375553266,73543.75352989025,79603.02166327511,37474310.60830177,2862.893751199222,25124.140485662985,85028.76530165196,368021.37912930467,52999.50687342895,534036.6855412477,COFCO INTERNATIONAL BRASIL S.A. - Unidade Sebastianópolis - Sebastianópolis do Sul - SP,SP,10y_1985_2024,0.9238814305439826,6.7087489191082526,470.7649260705208,0.9435430531498497,6.040553340389708,0.9436983159997223,6.319741670701458,0.9392665737622105,6.444993950684512,0.9214038483834776,6.751386377226132,0.902939072860144,7.113940751207315
Meridiano,06315338002405,31.212665252387524,3762.856008630232,10588.576961571649,54209.99673528584,10718.997966926527,30.625069342553616,3372.6677751204547,9518.045956371376,48799.84030057707,9406.081468750388,71127.26057016183,79311.64033766664,35286894.741791874,168.09540025889874,26410.54520856698,74783.47584555307,380805.5069642866,79024.15321639167,561191.7766350573,COFCO INTERNATIONAL BRASIL S.A. - Unidade Meridiano - Meridiano - SP,SP,10y_1985_2024,0.8968073320302028,7.075780733393008,444.91444876892103,0.9811744397640326,5.385486913714963,0.8963052977273466,7.018749893164538,0.8988975563868994,7.062655927889016,0.9002000228642839,7.024636227591145,0.8775149969962543,7.3723452005701215
Potirendaba,06315338015060,4905.885544188438,20893.3829206971,30079.735898388917,42658.05752738322,7446.4991325830715,4625.172098438442,19629.796364904825,27946.038674143132,38642.23754327547,6655.9849001036255,97499.22958086545,105983.56102324076,50251846.44641118,30195.98496898611,128389.3273767659,191914.018846823,286106.878078721,51699.50115777733,688305.7104290734,COFCO INTERNATIONAL BRASIL S.A. - Unidade Potirendaba - Potirendaba - SP,SP,10y_1985_2024,0.9199467222986136,6.4944572892595795,474.1475561044002,0.9427802701017899,6.1550528843373815,0.939522165434466,6.144975558246373,0.9290652939422893,6.380176325188479,0.9058602239089321,6.706983267933899,0.893840821249753,6.94279287988631
Catanduva,06315338015140,26758.986062585696,47853.125275241604,38886.77397801949,19779.243563990436,3679.815791236391,25150.387003508735,44442.73478628301,36249.47698437006,18262.95271921964,3249.893050467735,127355.44454384921,136957.94467107355,72676045.3167446,171113.7563555783,315442.62334229564,248599.01687659376,130433.26887714847,26682.722961848922,892271.3884134651,COFCO INTERNATIONAL BRASIL S.A. - Unidade Catanduva - Catanduva- SP,SP,10y_1985_2024,0.9298872354554802,6.514929751292616,530.6449763924813,0.9398856498032226,6.394627806725041,0.9287321262855307,6.591891784035687,0.9321801033137863,6.392893815699724,0.9233392905110226,6.5944518280068,0.883167320007558,7.25110290177969
Morrinhos,07130855000186,0.0,226.513238273561,670.0497569593438,15846.683558459901,777.6067512756177,0.0,212.80682938545942,642.3231208716245,15561.773226035488,695.8895116200634,17112.792687912635,17520.853304968427,14803133.933097541,0.0,1249.193036571145,3555.5139758527275,69853.4553441669,5057.660103999049,79715.82246058981,CENTRAL ENERGÉTICA MORRINHOS S.A. - Morrinhos-GO,GO,10y_1985_2024,0.9767100032199872,4.5497682717305,844.8865860260233,,,0.9394895901335873,5.514878715664686,0.9586200341097928,5.306343206491848,0.9820208227561715,4.408080409157598,0.8949118696288297,6.504136050390841
Iacanga,07280328000158,2336.1531238056277,13983.367051422507,20931.325275158008,53028.45421653447,12974.148790233623,2189.9734102498956,13147.92087033654,19400.756830781465,48093.421353498525,11708.920227508685,94540.99269237509,103253.44845715418,48015221.464216225,14939.287210663511,87109.10103236363,135565.9860292961,360468.801903962,88538.04230327724,686621.2184795623,Ipiranga Agroindustrial S. A. - Unidade Iacanga - Iacanga - SP,SP,10y_1985_2024,0.9156206800357434,6.649862341057608,465.02293319666234,0.9374271694495765,6.39482363481688,0.9402542908289762,6.229479689121237,0.9268766585843912,6.47670342165053,0.9069361357793986,6.797648681819703,0.9024808036980932,6.8241889109461145
Mococa,07280328001715,17350.913381130962,14448.90514607526,18207.90026805994,14250.887568049135,2897.0652983579857,14847.012862923715,12365.752016807392,15257.059590133325,11453.690376995533,2260.5552556153307,56184.0701024753,67155.67166167326,46918388.98754155,132318.0967663826,110153.8565256507,142857.37675290718,119705.84886668787,25454.664013623664,530489.842925252,IPIRANGA AGROINDUSTRIAL S.A. - Mococa - Mococa -SP,SP,10y_1985_2024,0.8366243492512098,7.899404916949263,698.6511760899947,0.8556905643405363,7.626001805200522,0.8558262298625642,7.623681892296986,0.8379362455591356,7.845900661236909,0.803717685814532,8.399887255799529,0.7802914407544008,8.78636184971426
