model,AIC,BIC,R2,R2_adj,n,delta_AIC,delta_BIC
Linear,1267.5326099056638,1301.693613927708,0.2975999327361125,0.26819713922274047,225,0.040918347024671675,0.0
Categorias institucionais,1272.0834128066854,1309.660517230934,0.28959158299724164,0.25639492799711283,225,4.5917212480462695,7.96690330322599
Spline cúbica,1267.491691558639,1311.9009967872967,0.316207429520583,0.2775021896821255,225,0.0,10.207382859588733
