model,AIC,BIC,R2,R2_adj,n,delta_AIC,delta_BIC
Linear,1267.5326099056638,1301.693613927708,0.2975999327361125,0.26819713922274047,225,0.040918347024671675,0.0
Categorias,1276.8856148940042,1314.4627193182528,0.2742662875708305,0.24035349727040212,225,9.393923335365116,12.769105390544837
Spline cúbica,1267.491691558639,1311.9009967872967,0.316207429520583,0.2775021896821255,225,0.0,10.207382859588733
