slope_bin,slope_label,variable,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2,aic,bic
00_03,0–3%,Intercept,-0.1485508784935355,0.0243023727059941,9.801591298961106e-10,-0.1961826537361533,-0.1009191032509178,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,time,-0.0076948790978518,0.0029626925928572,0.0093971120930949,-0.0135016498771157,-0.0018881083185879,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,after_2002,0.0495966830687885,0.0085914651287584,7.797179581728137e-09,0.0327577208419901,0.0664356452955869,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,after_2009,-0.0368448505263203,0.0119548424420329,0.0020561332825327,-0.0602759111535557,-0.0134137898990849,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
00_03,0–3%,after_2020,-0.1443557090294386,0.0162053520172544,5.20067186930783e-19,-0.1761176153400508,-0.1125938027188265,37,0.7982770550541054,0.7730616869358686,-88.56079444104284,-80.50620487782172
03_06,>3–6%,Intercept,0.4604085858975231,0.0113899805104801,0.0,0.4380846343123689,0.4827325374826773,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,time,0.0020380411742423,0.0015341234230923,0.1840219774887596,-0.000968785482858,0.0050448678313427,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,after_2002,0.0018014066860938,0.0045370613127598,0.6913360359773757,-0.0070910700825654,0.0106938834547531,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,after_2009,-0.003126801042686,0.0050022676213589,0.5319207055817812,-0.0129310654215805,0.0066774633362084,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
03_06,>3–6%,after_2020,0.0233353758094106,0.0089612763120735,0.0092136388004469,0.0057715969822345,0.0408991546365867,37,0.4489659933413943,0.3800867425090686,-136.02278584436368,-127.96819628114255
06_09,>6–9%,Intercept,0.5245844147156757,0.0313241054623383,5.956691162534032e-63,0.4631902961615581,0.5859785332697933,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,time,0.0035928146692093,0.0031523855932188,0.2544059121487656,-0.0025857475588824,0.0097713768973012,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,after_2002,-0.0601751406597733,0.0093860837436437,1.4447145199962426e-10,-0.0785715267531919,-0.0417787545663546,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,after_2009,0.0463303109335193,0.0135205484282555,0.0006110555718317,0.0198305229629088,0.0728300989041297,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
06_09,>6–9%,after_2020,0.161914841403251,0.0177484939371998,7.32506059665632e-20,0.1271284325065119,0.1967012502999901,37,0.8817771117156863,0.866999250680147,-81.47251556460611,-73.41792600138498
09_12,>9–12%,Intercept,-0.2920545382043593,0.0436273274867568,2.1670237138958852e-11,-0.3775625288201371,-0.2065465475885814,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,time,-0.0004603405544086,0.0064402595405509,0.9430168781027825,-0.0130830173049789,0.0121623361961615,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,after_2002,-0.1002276995803894,0.0219716522391027,5.074536299486728e-06,-0.1432913466498696,-0.0571640525109091,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,after_2009,0.0930388381019943,0.0267042431059686,0.0004938927476251,0.0406994833798936,0.1453781928240949,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
09_12,>9–12%,after_2020,0.2281695665973265,0.0367820962375789,5.529904494182898e-10,0.1560779826957856,0.3002611504988675,37,0.8526847541885191,0.8342703484620839,-30.90274813877889,-22.84815857555777
12_20,>12–20%,Intercept,-2.263875915554405,0.0963169643492064,3.674235709372879e-122,-2.4526536967790777,-2.075098134329732,37,0.6222595904729635,0.575042039282084,2.686351578889287,10.740941142110408
12_20,>12–20%,time,-0.0002682307650741,0.0122428494339102,0.9825204037044256,-0.0242637747236848,0.0237273131935364,37,0.6222595904729635,0.575042039282084,2.686351578889287,10.740941142110408
12_20,>12–20%,after_2002,-0.1071772465701711,0.0364168684413077,0.0032497914955365,-0.1785529971448677,-0.0358014959954746,37,0.6222595904729635,0.575042039282084,2.686351578889287,10.740941142110408
12_20,>12–20%,after_2009,0.1365964379881577,0.0388687980801908,0.0004409222024044,0.060414993628624,0.2127778823476914,37,0.6222595904729635,0.575042039282084,2.686351578889287,10.740941142110408
12_20,>12–20%,after_2020,0.1255487391617893,0.0709660285963503,0.0768707507538643,-0.0135421210128969,0.2646395993364757,37,0.6222595904729635,0.575042039282084,2.686351578889287,10.740941142110408
gt_20,>20%,Intercept,-5.181560221916708,0.1274181200483898,0.0,-5.431295148189354,-4.931825295644063,37,0.604814495944621,0.5554163079376986,45.36534105035412,53.41993061357524
gt_20,>20%,time,0.0012624199347021,0.0130459702956903,0.922911399010017,-0.0243072119882303,0.0268320518576346,37,0.604814495944621,0.5554163079376986,45.36534105035412,53.41993061357524
gt_20,>20%,after_2002,-0.1756228334707163,0.0503731195766083,0.0004894961021075,-0.2743523336297983,-0.0768933333116344,37,0.604814495944621,0.5554163079376986,45.36534105035412,53.41993061357524
gt_20,>20%,after_2009,0.3387409721687985,0.0660796270632076,2.955633372280113e-07,0.2092272830130733,0.4682546613245236,37,0.604814495944621,0.5554163079376986,45.36534105035412,53.41993061357524
gt_20,>20%,after_2020,-0.095617518878085,0.1400607229848655,0.4948051691235983,-0.3701314915770629,0.1788964538208927,37,0.604814495944621,0.5554163079376986,45.36534105035412,53.41993061357524
