model,n,k_neighbors,moran_i,expected_i,p_permutation,z_sim,permutations,is_main_knn
M5 — + uso anterior,225,4,0.034612816508113854,-0.004464285714285714,0.175,0.9461565703243454,999,False
M5 — + uso anterior,225,6,0.02629608256586592,-0.004464285714285714,0.171,0.9450596254826243,999,True
M5 — + uso anterior,225,8,0.011104399942067805,-0.004464285714285714,0.317,0.45721623227080516,999,False
M5 — + uso anterior,225,10,-0.005923715099765732,-0.004464285714285714,0.49,-0.053353981300702034,999,False
